brand_name_normalized,generic_names_normalized,registration_numbers,review_reason
lemzinc,zinc | zinc sulfate monohydrate,DRP-10419 | DRP-7223,same_brand_name_has_multiple_generic_names
fucon,hyoscine n-butylbromide | hyoscine-n-butylbromide,DRP-10431 | DRP-8151,same_brand_name_has_multiple_generic_names
ironfer,ferrous sulfate | ferrous sulfate heptahydrate | ferrous sulfate heptahydrate (butter scotch flavor) | iron,DRP-10442 | DRP-12615 | DRP-3223 | DRP-3345,same_brand_name_has_multiple_generic_names
saphfovit-fe,ferrous sulfate + folic acid + pyridoxine hydrochloride (vitamin b6) + cyanocobalamin (vitamin b12) | multivitamins + iron,DRP-10452 | DRP-13666,same_brand_name_has_multiple_generic_names
khrizver,mebendazole | mebendazole usp,DRP-10463 | DRP-11037,same_brand_name_has_multiple_generic_names
opadinex,olapatadine (as hydrochloride) | olopatadine (as hydrochloride),DRP-10464 | DRP-14779,same_brand_name_has_multiple_generic_names
xelares,cefalexin | cefalexin (as monohydrate),DRP-10545-01 | DRP-1426-13,same_brand_name_has_multiple_generic_names
motillex,bisacodyl | metoclopramide (as hydrochloride),DRP-1055 | DRP-373,same_brand_name_has_multiple_generic_names
ferium,iron (iii) hydroxide polymaltose complex | iron + folic acid (vitamin b9),DRP-2320 | DRP-2618,same_brand_name_has_multiple_generic_names
vancocy,vancomycin (as hydrochloride) | vancomycin (as hydrohloride),DRP-10630-02 | DRP-7335-01,same_brand_name_has_multiple_generic_names
vancoblis 1000,vancomycin (as hydrochloride) | vancomycin (as hydrochloride) 1 g powder for solution for injection (iv),DRP-10631-09 | DRP-7336,same_brand_name_has_multiple_generic_names
rezotam,piperacillin (as sodium) + tazobactam (as sodium) | piperacillin (as sodium) and tazobactam (as sodium),DRP-10708 | DRP-10709,same_brand_name_has_multiple_generic_names
aminoral,alpha ketoanalogues + essential amino acids | ketoanalogues essential amino acids.,DRP-10771 | DRP-13559,same_brand_name_has_multiple_generic_names
appexcef,cefuroxime (as axetil) | cefuroxime (as sodium),DRP-10888-04 | DRP-7543-05,same_brand_name_has_multiple_generic_names
zolechem,zoledronic acid | zoledronic acid (as monohydrate),DRP-10892-05 | DRP-7277-02,same_brand_name_has_multiple_generic_names
ferrogen,ferrous sulfate | iron,DRP-10914 | DRP-12617,same_brand_name_has_multiple_generic_names
povi-klin,povidone iodine | povidone-iodine,DRP-10920 | HRP-560,same_brand_name_has_multiple_generic_names
ripesaph-4,rifampicin + isoniazid + pyrazinamide + ethambutol hydrochloride | rifampicin + isoniazid +pyrazinamide + ethambutol hydrochloride,DRP-10934 | DRP-14907,same_brand_name_has_multiple_generic_names
methimed,methimazole | thiamazole,DRP-10939 | DRP-10940,same_brand_name_has_multiple_generic_names
dorzodin plus,dorzolamide (as hydrochloride) + timolol (as maleate) | dorzolamide + timolol,DRP-10953-03 | DRP-16293-01,same_brand_name_has_multiple_generic_names
broncovent plus,ipratropium (as bromide) + salbutamol (as sulfate) | ipratropium bromide + salbutamol (as sulfate),DRP-10970-01 | DRP-13475-03,same_brand_name_has_multiple_generic_names
gofime,cefepime (as hydrochloride) | cefepime hydrochloride,DRP-3387-02 | DRP-3830-01,same_brand_name_has_multiple_generic_names
cefortan-z,ascorbic acid (vitamin c) + zinc | ascorbic acid + zinc,DRP-11005 | DRP-11006,same_brand_name_has_multiple_generic_names
drenisole,prednisolone (as sodium phosphate ) | prednisolone (as sodium phosphate),DRP-11020 | DRP-12710,same_brand_name_has_multiple_generic_names
citcole,citicoline | citicoline (as sodium),DRP-11039 | DRP-14148,same_brand_name_has_multiple_generic_names
saphridone,domperidone | domperidone (as maleate),DRP-11046 | DRP-7345,same_brand_name_has_multiple_generic_names
ketocass,alpha ketoanalogues + essential amino acids | ketoanalogues + essential amino acids,DRP-11059-02 | DRP-15878-01,same_brand_name_has_multiple_generic_names
ambivent,salbutamol (as sulfate ) + ipratropium bromide | salbutamol (as sulfate) + ipratropium (as bromide) | salbutamol (as sulfate) + ipratropium bromide | salbutamol sulfate + ipratropium bromide,DRP-11062-06 | DRP-1419-02 | DRP-1419-10 | DRP-4672-02,same_brand_name_has_multiple_generic_names
dialix,ceterizine hydrochloride | cetirizine hydrochloride,DRP-11109 | DRP-7172,same_brand_name_has_multiple_generic_names
gel-malicid,aluminum hydoxide + magnesium hydroxide | aluminum hydroxide + magnesium hydroxide,DRP-1112 | DRP-493,same_brand_name_has_multiple_generic_names
cetricare,cetirizine | cetirizine dihydrochloride,DRP-11128-01 | DRP-15601-01,same_brand_name_has_multiple_generic_names
sitajack-m,sitagliptin (as phosphate monohydrate) + metformin hydrochloride | sitagliptin (as phosphate) + metformin hydrochloride,DRP-11150-01 | DRP-13278-01,same_brand_name_has_multiple_generic_names
cidrenzin,ascorbic acid + cholecalciferol (vitamin d3) + zinc | ascorbic acid + cholecalciferol + zinc,DRP-11217 | DRP-13038,same_brand_name_has_multiple_generic_names
feruz,ferrous sulfate | iron,DRP-11265 | DRP-12613,same_brand_name_has_multiple_generic_names
gloww-e,dl-alpha tocopheryl acetate | dl-alpha tocopheryl acetate (vitamin e),DRP-11335-01 | DRP-8126-01,same_brand_name_has_multiple_generic_names
lexzin,levofloxacin (as hemihydrate) | levofloxacin (as hemihydrates),DRP-3166 | DRP-6473-01,same_brand_name_has_multiple_generic_names
philvasc,amlodipine (as besilate) | amlodipine(as besilate),DRP-12901-01 | DRP-3553-01,same_brand_name_has_multiple_generic_names
tramine,tramadol hydrochloride | tranexamic acid,DRP-11399 | DRP-2510-01,same_brand_name_has_multiple_generic_names
telmilop,telmisartan + amlodipine | telmisartan + amlodipine (as besilate),DRP-11456 | DRP-13142,same_brand_name_has_multiple_generic_names
mistacor am,telmisartan + amlodipine | telmisartan + amlodipine (as besilate),DRP-11456-01 | DRP-13142-01,same_brand_name_has_multiple_generic_names
temsta,telmisartan + amlodipine | telmisartan + amlodipine (as besilate),DRP-11456-02 | DRP-13142-02,same_brand_name_has_multiple_generic_names
telmiget duo,telmisartan + amlodipine | telmisartan + amlodipine (as besilate),DRP-11456-03 | DRP-13089-03,same_brand_name_has_multiple_generic_names
melzin,clonidine hydrochloride | meclizine hydrochloride,DRP-1146 | DRP-11990-02,same_brand_name_has_multiple_generic_names
ambiflex plus,thiamine (vitamin b1) + pyridoxine (vitamin b6) + cyanocobalamin (vitamin b12) | thiamine mononitrate (vitamin b1) + pyridoxine hydrochloride (vitamin b6) + cyanocobalamin (vitamin b12,DRP-11484 | DRP-8903,same_brand_name_has_multiple_generic_names
trosoothe plus,dichlorobenzyl alcohol + amylmetacresol + lidocaine hydrochloride | dichlorobenzyl alcohol + amylmetacresol lidocaine hydrochloride,DRP-11613 | DRP-11782,same_brand_name_has_multiple_generic_names
abrexin,ambroxol | ambroxol hydrchloride | ambroxol hydrochloride,DRP-1162 | DRP-8826 | DRP-9382,same_brand_name_has_multiple_generic_names
ezoprole,esomeprazole (as magnesium) | esomeprazole magnesium,DRP-11669 | DRP-7282,same_brand_name_has_multiple_generic_names
jewel-cee,ascorbic acid | ascorbic acid (as sodium ascorbate),DRP-11820 | DRP-16192-02,same_brand_name_has_multiple_generic_names
rentos,dapagliflozin | dapagliflozin (as propanediol monohydrate),DRP-11789-09 | DRP-15483-12,same_brand_name_has_multiple_generic_names
vertset,betahistine dihydrochloride | betahistine hydrochloride,DRP-11798 | DRP-17512,same_brand_name_has_multiple_generic_names
jucef,cefuroxime (as sodium) | cefuroxime sodium,DRP-3115-06 | DRP-4515-04,same_brand_name_has_multiple_generic_names
hyopan,hyoscine n-butylbromide | hyoscine-n-butylbromide,DRP-11819 | DRP-8395,same_brand_name_has_multiple_generic_names
prepexol,pramipexole (as dihydrochloride monohydrate) | pramipexole (as hydrochloride),DRP-11832 | DRP-12720,same_brand_name_has_multiple_generic_names
op-ator,atorvastatin (as calcium trihydrate) | atorvastatin (as calcium),DRP-11880-01 | DRP-15961-05,same_brand_name_has_multiple_generic_names
retavent plus,ipratropium bromide + salbutamol (as sulfate) | salbutamol (as sulfate)+ ipratropium (as bromide),DRP-11882-01 | DRP-13475-06,same_brand_name_has_multiple_generic_names
biosaph,paracetamol + phenylephrine hcl + chlorphenamine maleate | paracetamol + phenylephrine hydrochloride + chlorphenamine maleate,DRP-11922 | DRP-12660,same_brand_name_has_multiple_generic_names
ero-s,meropenem | meropenem (as trihydrate),DRP-11926-02 | DRP-7074-04,same_brand_name_has_multiple_generic_names
cefuhil,cefuroxime | cefuroxime (as sodium),DRP-11928 | DRP-7126-04,same_brand_name_has_multiple_generic_names
amvasc be,amlodipine (as besilate) | amlodipine besilate,DRP-1195 | DRP-9946,same_brand_name_has_multiple_generic_names
godex ds,carnitine orotate + hepatic extract antitoxic fraction + adenine hcl + pyridoxine hcl + riboflavin + cyanocobalamin | carnitine orotate + liver extract antitoxic fraction + adenine hydrochloride + pyridoxine hydrochloride + riboflavin + cyanocobalamin,DRP-1200 | DRP-12347,same_brand_name_has_multiple_generic_names
ferolem,ferrous sulfate | ferrous sulfate heptahydrate | iron | iron (as ferrous sulfate),DRP-2527 | DRP-7098 | DRP-7224 | DRP-7879,same_brand_name_has_multiple_generic_names
diclophil,diclofenac (as sodium) | diclofenac sodium,DRP-12104 | DRP-17324,same_brand_name_has_multiple_generic_names
avamax,atorvastatin (as calcium trihydrate) | atorvastatin (as calcium),DRP-15498-01 | DRP-2279-02,same_brand_name_has_multiple_generic_names
macproto,pantoprazole | pantoprazole (as sodium),DRP-12138-2 | DRP-3762-02,same_brand_name_has_multiple_generic_names
atorvex-20,atorvastatin (as calcium trihydrate) | atorvastatin (as calcium),DRP-12155-02 | DRP-15714-02,same_brand_name_has_multiple_generic_names
gostin-20,atorvastatin (as calcium trihydrate) | atorvastatin (as calcium),DRP-12155-03 | DRP-15714-01,same_brand_name_has_multiple_generic_names
fluaid,paracetamol + phenylephrine hcl + chlorphenamine maleate | paracetamol +phenylephrine hcl + chlorphenamine maleate,DRP-12156 | DRP-8645,same_brand_name_has_multiple_generic_names
pramide,metoclopramide (as hydrochloride) | metoclopramide hydrochloride,DRP-12163 | DRP-17035,same_brand_name_has_multiple_generic_names
omeprasaph,omeprazole | omeprazole (as sodium),DRP-12165 | DRP-12932,same_brand_name_has_multiple_generic_names
amoxipen,amoxicillin (as trihydrate) | amoxicillin trihydrate,DRP-1425-08 | DRP-1475-02,same_brand_name_has_multiple_generic_names
off-colds,paracetamol + phenylpropanolamine hydrochloride + chlorphenamine maleate | paracetamol + phenylpropanolamine hydrochloride+ chlorphenamine maleate,DRP-12179 | DRP-8205,same_brand_name_has_multiple_generic_names
telmisartan,micajub | telmisartan,DRP-12210 | DRP-3212-08,same_brand_name_has_multiple_generic_names
eroxime,cefuroxime (as axetil) | cefuroxime (as sodium),DRP-12213 | DRP-3600-02,same_brand_name_has_multiple_generic_names
atorvex-10,atorvastatin (as calcium trihydrate) | atorvastatin (as calcium),DRP-12225-01 | DRP-15715-01,same_brand_name_has_multiple_generic_names
gostin-10,atorvastatin (as calcium trihydrate) | atorvastatin (as calcium),DRP-12225-02 | DRP-15715-02,same_brand_name_has_multiple_generic_names
ocumox,moxifloxacin (as hydrochloride) | moxifloxacin hydrochloride,DRP-12248 | DRP-12277,same_brand_name_has_multiple_generic_names
cipromax,ciprofloxacin | ciprofloxacin (as hydrochloride),DRP-12369 | DRP-3583,same_brand_name_has_multiple_generic_names
benzaclir,benzydamine (as hydrochloride) | benzydamine hydrochloride,DRP-12388-01 | DRP-12389-01,same_brand_name_has_multiple_generic_names
omepace,omeprazole (as sodium monohydrate) | omeprazole (as sodium),DRP-12424-03 | DRP-15591-03,same_brand_name_has_multiple_generic_names
dipinew,amlodipine ( as besilate) | amlodipine (as besilate),DRP-12488 | DRP-14027,same_brand_name_has_multiple_generic_names
sapheron,ferrous sulfate | iron,DRP-12512 | DRP-14233,same_brand_name_has_multiple_generic_names
zetrinx plus,cetirizine (as dihydrochloride) + phenylephrine hydrochloride | cetirizine dihydrochloride phenylephrine hydrochloride,DRP-12525 | DRP-8813,same_brand_name_has_multiple_generic_names
mepracid,omeprazole | omeprazole sodium,DRP-12538 | DRP-3047-02,same_brand_name_has_multiple_generic_names
zynasalo,xylometazoline (as hydrochloride) | xylometazoline hydrochloride,DRP-13362 | DRP-14213,same_brand_name_has_multiple_generic_names
oxan,oxacillin (as sodium) | oxacillin sodium,DRP-12577 | DRP-6179,same_brand_name_has_multiple_generic_names
trimetaz,trimetazidine (as hydrochloride) | trimetazidine hydrochloride,DRP-12623-11 | DRP-2489-15,same_brand_name_has_multiple_generic_names
rondvit plus c,multivitamins + iron | multivitamins + minerals,DRP-17740 | DRP-17741,same_brand_name_has_multiple_generic_names
levixa,levofloxacin (as hemihydrate) | levofloxacin (as hemihydrate).,DRP-12672 | DRP-5498,same_brand_name_has_multiple_generic_names
hycort,hydrocortisone (as sodium succinate) | hydrocortisone sodium succinate,DRP-1272 | DRP-5968,same_brand_name_has_multiple_generic_names
lodipex hctz,amlodipine (as besilate) + hydrochlorothiazide | amlodipine (as besylate) + hydrochlorothiazide,DRP-12791 | DRP-12808,same_brand_name_has_multiple_generic_names
combizar,losartan + hydrochlorothiazide | losartan potassium + hydrochlorothiazide,DRP-2186-02 | DRP-3754,same_brand_name_has_multiple_generic_names
analou,ketoanalogues + essential amino acids | ketoanalogues and essential amino acids,DRP-12879-01 | DRP-14052-01,same_brand_name_has_multiple_generic_names
allecur d,cetirizine | cetirizine (as dihydrochloride) | cetirizine dihydrochloride,DRP-12952 | DRP-13823 | DRP-14362,same_brand_name_has_multiple_generic_names
rani-d,cholecalciferol (vitamin d3) | colecalciferol (vitamin d3),DRP-12957 | DRP-13827,same_brand_name_has_multiple_generic_names
quetiapro,quetiapine (as fumarate) | quetiapine fumarate,DRP-8730 | DRP-9913,same_brand_name_has_multiple_generic_names
aetropsal,ipratropium bromide + salbutamol (as sulfate) | salbutamol (as sulfate) + ipratropium bromide,DRP-13048-03 | DRP-5276-04,same_brand_name_has_multiple_generic_names
koztatm plus,sitagliptin (as phosphate) + metformin hydrochloride | sitagliptin (as phosphate) + metformin hydrochloride.,DRP-13051 | DRP-15039,same_brand_name_has_multiple_generic_names
betaneosaph,betamethasone (as valerate) + neomycin (as sulfate) | betamethasone valerate + neomycin sulfate,DRP-13064 | DRP-17930,same_brand_name_has_multiple_generic_names
triosaph,rifampicin + isoniazid + ethambutol hydrochloride | rifampicin + isoniazid + ethambutol hydrochloride + isoniazid,DRP-13108 | DRP-14077,same_brand_name_has_multiple_generic_names
allermed,cetirizine dihydrochloride | cetirizine hydrochloride,DRP-1469-06 | DRP-920-01,same_brand_name_has_multiple_generic_names
aforvir,cetirizine dihydrochloride | cetirizine hydrochloride,DRP-1317-09 | DRP-275-01,same_brand_name_has_multiple_generic_names
celtere,docetaxel | docetaxel (as trihydrate),DRP-1320 | DRP-1486,same_brand_name_has_multiple_generic_names
ecmetrix,clobetasol (as propionate) | clobetasol propionate,DRP-13217 | DRP-13220,same_brand_name_has_multiple_generic_names
xinatrene,cefuroxime (as axetil) | cefuroxime (as sodium),DRP-1326-06 | DRP-7543-03,same_brand_name_has_multiple_generic_names
amzur,amlodipine (as besilate) | amlodipine (as besylate),DRP-13327 | DRP-13841,same_brand_name_has_multiple_generic_names
clintop,clindamycin (as hydrochloride) | clindamycin hydrochloride,DRP-14915 | DRP-17321,same_brand_name_has_multiple_generic_names
none (reformulated),amlodipine (as besilate) | cetirizine hydrochloride,DRP-1469-04 | DRP-4727-05,same_brand_name_has_multiple_generic_names
flazomel,omeprazole | omeprazole (as sodium),DRP-13388 | DRP-413,same_brand_name_has_multiple_generic_names
megavit,multivitamins | multivitamins syrup,DRP-134-01 | DRP-485-01,same_brand_name_has_multiple_generic_names
exicof,dextromethorphan hydrobromide + guaifenesin + phenylephrine hydrochloride | dextromethorphan hydrobromide + guaifenesin + phenylephrine hydrochloride (pomegranate flavor) | dextromethorphan hydrobromide + guaifenesin + phenylephrine hydrochloride (strawberry flavor),DRP-5794 | DRP-5997 | DRP-6248,same_brand_name_has_multiple_generic_names
citicure,cetirizine | cetirizine dihydrochloride | cetirizine hydrochloride,DRP-1352-05 | DRP-5754-12 | DRP-8451-01,same_brand_name_has_multiple_generic_names
glucasaph,calcium gluconate | calcium gluconate (as monohydrate),DRP-13544 | DRP-17455,same_brand_name_has_multiple_generic_names
losarx 50,losartan (as potassium) | losartan potassium,DRP-13556 | DRP-15534,same_brand_name_has_multiple_generic_names
losarx 100,losartan (as potassium) | losartan potassium,DRP-13557 | DRP-15533,same_brand_name_has_multiple_generic_names
fefosaph,ferrous sulfate + folic acid | iron (as ferrous sulfate) + folic acid (vitamin b9),DRP-16365 | DRP-8476,same_brand_name_has_multiple_generic_names
glimphage,glimeperide | glimepiride,DRP-16420 | DRP-17232,same_brand_name_has_multiple_generic_names
irofer,iron (as ferric hydroxidesucrose complex) | iron (as iron sucrose),DRP-13888-01 | DRP-7111-06,same_brand_name_has_multiple_generic_names
feruvin,iron (as ferric hydroxide sucrose complex) | iron (as iron sucrose),DRP-13888-02 | DRP-7111-01,same_brand_name_has_multiple_generic_names
bliron,iron (as ferric hydroxide sucrose complex) | iron (as iron sucrose),DRP-13888-03 | DRP-7111,same_brand_name_has_multiple_generic_names
isufer,iron (as ferric hydroxide sucrose complex) | iron (as iron sucrose),DRP-13888-04 | DRP-7111-03,same_brand_name_has_multiple_generic_names
ambiforge,amlodipine (as besilate) + valsartan | amlodipine (as besylate) + valsartan,DRP-13932 | DRP-14081,same_brand_name_has_multiple_generic_names
triocef,cefixime | cefixime (as trihydrate),DRP-5052-17 | DRP-5683-10,same_brand_name_has_multiple_generic_names
peesaph-g,guaifenesin + salbutamol (as sulfate) | salbutamol (as sulfate) + guaifenesin,DRP-14017 | DRP-14797,same_brand_name_has_multiple_generic_names
rimstar 4,rifampicin + isoniazid + pyrazinamide + ethambutol | rifampicin + isoniazid + pyrazinamide + ethambutol hydrochloride,DRP-14178 | DRP-1751,same_brand_name_has_multiple_generic_names
aura plus,salbutamol (as sulfate) + ipratropium (as bromide) | salbutamol (as sulfate) + ipratropium bromide | salbutamol sulfate + ipratropium bromide,DRP-1419-03 | DRP-1419-11 | DRP-4672-03,same_brand_name_has_multiple_generic_names
brodix plus,salbutamol (as sulfate) + lpratropium bromide | salbutamol sulfate + ipratropium bromide,DRP-1419-04 | DRP-4672-04,same_brand_name_has_multiple_generic_names
asmagone plus,salbutamol (as sulfate) + ipratropium (as bromide) | salbutamol (as sulfate)+ ipratropium bromide,DRP-1419-09 | DRP-4672-01,same_brand_name_has_multiple_generic_names
allecur plus,cetirizine (as dihydrochloride) + phenylephrine hydrochloride | cetirizine dihydrochloride hydrochloride,DRP-14228 | DRP-8815,same_brand_name_has_multiple_generic_names
zophizole,pantoprazole (as sodium sesquihydrate) | pantoprazole (as sodium),DRP-14239-03 | DRP-3762-01,same_brand_name_has_multiple_generic_names
citiright,citicoline | citicoline (as sodium),DRP-14329 | DRP-4639-02,same_brand_name_has_multiple_generic_names
doxetacent,docetaxel | docetaxel (as trihydrate),DRP-14331-02 | DRP-5973-05,same_brand_name_has_multiple_generic_names
cetirifed,cetirizine | cetirizine hydrochloride,DRP-14362-01 | DRP-5427-13,same_brand_name_has_multiple_generic_names
flusaph,paracetamol + phenylpropanolamine (as hydrochloride) + chlorphenamine maleate | paracetamol + phenylpropanolamine (as) hydrochloride) + chlorphenamine maleate,DRP-14454 | DRP-14455,same_brand_name_has_multiple_generic_names
mefetab,mefenamic acid | mefenamic acid.,DRP-14492 | DRP-4496-03,same_brand_name_has_multiple_generic_names
telmirx-hctz,telmisartan+hydrochlorothiazide | telmisartan/hydrochlorothiazide,DRP-14525 | DRP-14527,same_brand_name_has_multiple_generic_names
venotion,diosmin + hesperidin | diosmin hesperidin,DRP-14541 | DRP-14692,same_brand_name_has_multiple_generic_names
arbloc ccb,amlodipine (as besilate) + losartan potassium | losartan potassium + amlodipine (as besilate),DRP-14687-03 | DRP-8527-01,same_brand_name_has_multiple_generic_names
azimentia,donepezil hydrochloride | donepezil hydrochloride (as monohydrate),DRP-14695 | DRP-14719,same_brand_name_has_multiple_generic_names
zetriz,cetirizine (as hydrochloride) | cetirizine dihydrochloride,DRP-14754 | DRP-9228,same_brand_name_has_multiple_generic_names
monphevin,erythromycin (as ethylsuccinate) | erythromycin (as stearate),DRP-1481 | DRP-3304,same_brand_name_has_multiple_generic_names
calzur chews,cholecalciferol (vitamin d3) | colecalciferol (vitamin d3),DRP-14904 | DRP-17643,same_brand_name_has_multiple_generic_names
alsuni,sunitinib | sunitinib (as malate),DRP-15001 | DRP-16536,same_brand_name_has_multiple_generic_names
tumiwel,sodium alginate + sodium bicarbonate + calcium carbonate | sodium alginate sodium bicarbonate + calcium carbonate,DRP-15021 | DRP-16221,same_brand_name_has_multiple_generic_names
dipp-4 plus,vildagliptin + metformin | vildagliptin + metformin hcl | vildagliptin + metformin hydrochloride.,DRP-15077 | DRP-15672 | DRP-15893,same_brand_name_has_multiple_generic_names
trimecard mr 35,trimetazidine | trimetazidine hydrochloride,DRP-15150 | DRP-2489,same_brand_name_has_multiple_generic_names
cardiozidine,trimetazidine dihydrochloride | trimetazidine hydrochloride,DRP-15150-04 | DRP-8586-01,same_brand_name_has_multiple_generic_names
trigil,trimetazidine (as hydrochloride) | trimetazidine dihydrochloride | trimetazidine hydrochloride,DRP-15150-07 | DRP-2489-07 | DRP-8586-13,same_brand_name_has_multiple_generic_names
kozta,sitagliptin (as hydrochloride monohydrate) | sitagliptin (as phosphate),DRP-16881 | DRP-8901-04,same_brand_name_has_multiple_generic_names
clovate,clobetasol propionate | clobetasol propionate.,DRP-15264 . | DRP-15273,same_brand_name_has_multiple_generic_names
rovalpin,valsartan + amlodipine (as besilate) | valsartan amlodipine (as besilate),DRP-15284 | DRP-15285,same_brand_name_has_multiple_generic_names
amlodine plus,amlodipine (as besilate) + losartan potassium | amlodipine (as besilate) / losartan potassium | losartan potassium + amlodipine (as besilate),DRP-15300 | DRP-5685 | DRP-8527,same_brand_name_has_multiple_generic_names
pretension plus,telmisartan + hydrochlorothiazide | telmisartan+hydrochlorothiazide,DRP-15332 | DRP-15333,same_brand_name_has_multiple_generic_names
duocard,telmisartan + amlodipine (as besilate) | telmisartan + amlodipine besilate,DRP-15335 | DRP-15336,same_brand_name_has_multiple_generic_names
daphix,dapagliflozin | dapagliflozin (as propanediol monohydrate),DRP-15429 | DRP-16601,same_brand_name_has_multiple_generic_names
xantor,: atorvastatin (as calcium trihydrate) | atorvastatin (as calcium trihydrate) | atorvastatin (as calcium),DRP-15500 | DRP-15501 | DRP-2279,same_brand_name_has_multiple_generic_names
lc-dopa,levodopa + carbidopa | levodopa + carbidopa (as monohydrate) | levodopa +carbidopa,DRP-15563 | DRP-16089 | DRP-16982,same_brand_name_has_multiple_generic_names
verbeta 16,betahistine dihydrochloride | betahistine hydrochloride,DRP-1557-10 | DRP-5645-05,same_brand_name_has_multiple_generic_names
tazacin,piperacillin (as (as sodium) + tazobactam (as sodium) | piperacillin + tazobactam,DRP-15584 | DRP-7343,same_brand_name_has_multiple_generic_names
cleazole,esomeprazole (as sodium) | omeprazole | omeprazole (as sodium),DRP-1570-13 | DRP-3047-01 | DRP-4854-12,same_brand_name_has_multiple_generic_names
genzole,omeprazole | omeprazole (as sodium),DRP-1570-20 | DRP-1623-09,same_brand_name_has_multiple_generic_names
dapafast,dapagliflozin | dapaglifozin,DRP-15726 | DRP-16535,same_brand_name_has_multiple_generic_names
resdilsin,guaifenesin + salbutamol | salbutamol (as sulfate) + guaifenesin,DRP-1578 | DRP-2198,same_brand_name_has_multiple_generic_names
hemovit,ferrous sulfate | ferrous sulfate (as heptahydrate),DRP-1597 | DRP-1673,same_brand_name_has_multiple_generic_names
estolax,aluminum hydroxide + magnesium hydroxide | aluminumhydroxide + magnesium hydroxide,DRP-1581 | HRP-089,same_brand_name_has_multiple_generic_names
enerzee,zinc (as sulfate monohydrate) | zinc. (as sulfate monohydrate),DRP-1598 | DRP-3627,same_brand_name_has_multiple_generic_names
enerzinc,zinc (as sulfate monohydrate) | zinc sulfate (as monohydrate) 27.5 mg/ml (equivalent to 10 mg elemental zinc) syrup (oral drops),DRP-1598-02 | DRP-3627-01,same_brand_name_has_multiple_generic_names
lifeozinc,zinc (as sulfate monohydrate) | zinc sulfate (as monohydrate) 27.5 mg/ml (equivalent to 10 mg elemental zinc) syrup (oral drops),DRP-1598-07 | DRP-3627-02,same_brand_name_has_multiple_generic_names
janumet,sitagliptin (as monohydrate phosphate) + metformin hydrochloride | sitagliptin (as phosphate) + metformin hydrochloride,DRP-16031 | DRP-4012,same_brand_name_has_multiple_generic_names
velmetia,sitagliptin (as monohydrate phosphate) + metformin hydrochloride | sitagliptin (as phosphate) + metformin hydrochloride,DRP-16031-01 | DRP-4012-01,same_brand_name_has_multiple_generic_names
amlothix,amlodipine | amlodipine (as besilate),DRP-993-03 | DRP-994-03,same_brand_name_has_multiple_generic_names
prestan plus,losartan potassium + hydrochlorothiazide | losartan potassium / hydrochlorothiazide,DRP-1630 | DRP-2669,same_brand_name_has_multiple_generic_names
saphcolgen,paracetamol + phenylpropanolamine hydrochloride + chlorphenamine maleate | paracetamol chlorpheniramine maleate,DRP-16406 | DRP-16580,same_brand_name_has_multiple_generic_names
rimaclor,cefaclor (as monohdyrate) | cefaclor (as monohydrate),DRP-1649 | DRP-7827,same_brand_name_has_multiple_generic_names
ercef,cefaclor (as monohdyrate) | cefaclor (as monohydrate),DRP-1645-02 | DRP-7827-01,same_brand_name_has_multiple_generic_names
ironova,iron (as ferric hydroxidesucrose complex) | iron sucrose (as ferric hydroxide sucrose complex),DRP-16452 | DRP-7111-04,same_brand_name_has_multiple_generic_names
ranvast,atorvastatin (as calcium) | atorvastatin(as calcium),DRP-2778 | DRP-5224,same_brand_name_has_multiple_generic_names
nervit,"thiamine hcl + pyridoxine hcl + cyanocobalamin | vitamin b1,b6, b12",DRP-1647-01 | DRP-1863-03,same_brand_name_has_multiple_generic_names
dabitrin 110,dabigatran etexilate (as mesilate) | dabigatran etexilate (as mesylate),DRP-16486 | DRP-16766,same_brand_name_has_multiple_generic_names
vitruvia,vortioxetine | vortioxetine (as hydrobromide),DRP-16632 | DRP-16634,same_brand_name_has_multiple_generic_names
ranzole,omeprazole | omeprazole (as sodium),DRP-3590-02 | DRP-9420,same_brand_name_has_multiple_generic_names
bromacef,ambroxol (as hydrochloride) | ambroxol hydrochloride,DRP-1831 | DRP-2264,same_brand_name_has_multiple_generic_names
glinamet,linagliptin + metformin hc1 | linagliptin +metformin hc1,DRP-16977 | DRP-16980,same_brand_name_has_multiple_generic_names
ibuprofen,ibufam 200 | ibufam 400,DRP-17011 | DRP-17012,same_brand_name_has_multiple_generic_names
bestatin,atorvastatin | atorvastatin (as calcium),DRP-1720 | DRP-2254,same_brand_name_has_multiple_generic_names
atorbet,atorvastatin | atorvastatin (as calcium),DRP-1721-02 | DRP-2254-01,same_brand_name_has_multiple_generic_names
glucotrose-50,dextrose | dextrose 50%,DRP-17208 | DRP-17265,same_brand_name_has_multiple_generic_names
amtorphil,: amlodipine (as besilate) + atorvastatin (as calcium) | amlodipine (as besilate) + atorvastatin (as calcium),DRP-17718 | DRP-17720,same_brand_name_has_multiple_generic_names
prosterone,abiraterone (as acetate) | abiraterone acetate,DRP-17775 | DRP-17851,same_brand_name_has_multiple_generic_names
rapichlor,chlorhexidine (as gluconate) | chlorhexidine digluconate | chlorhexidine gluconate,DRP-17830 | HRP-519 | HRP-624,same_brand_name_has_multiple_generic_names
ventrex,salbutamol (as sulfate) | salbutamol sulfate,DRP-1812 | DRP-2779,same_brand_name_has_multiple_generic_names
