brand_name_normalized,generic_names_normalized,registration_numbers,review_reason
ebedoxo,doxorubicin hydrochloride | doxurubicin hydrochloride,DR-XY25423 | DR-XY25424,same_brand_name_has_multiple_generic_names
neurolink,thiamine hydrochloride (vitamin b1) / pyridoxine hydrochloride (vitamin b6)/ cyanocobalamin (vitamin b12) | thiamine mononitrate (vitamin b1) + pyridoxine hydrochloride (vitamin b6) + cyanocobalamin (vitamin b12),DR-XY25545 | DRP-579-01,same_brand_name_has_multiple_generic_names
avelox,moxifloxacin (as hydrochloride) | moxifloxacin (hydrochloride),DR-XY47541 | DR-XY47545,same_brand_name_has_multiple_generic_names
polynerv,thiamine hydrochloride (vitamin b1) / pyridoxine hydrochloride (vitamin b6) / cyanocobalamin (vitamin b12) | thiamine mononitrate (vitamin b1) / pyridoxine hydrochloride (vitamin b6) / cyanocobalamin (vitamin b12),DR-XY25621 | DR-XY30346,same_brand_name_has_multiple_generic_names
aggrastat,tirofiban (as hydrochloride monohydrate) | tirofiban hydrochloride,DR-XY25818 | DR-XY47758,same_brand_name_has_multiple_generic_names
asmacaire,salbutamol (as sulfate) | salbutamol sulfate,DRP-4671-05 | DRP-630-05,same_brand_name_has_multiple_generic_names
zinbee,zinc (as zinc gluconate) | zinc gluconate,DR-XY26270 | DR-XY33219,same_brand_name_has_multiple_generic_names
angiozem,diltiazem (as hydrochloride) | diltiazem hydrochloride,DR-XY26629 | DR-XY26641,same_brand_name_has_multiple_generic_names
jagaplex,multivitamins (see reverse for formulation) | multivitamins + minerals,DR-XY26785 | DRP-3842,same_brand_name_has_multiple_generic_names
pantoloc,pantoprazole | pantoprazole (as sodium sesquihydrate),DR-XY26884 | DR-XY28439,same_brand_name_has_multiple_generic_names
nostero,phenylpropanolamine hydrochloride / brompheniramine maleate | phenylpropanolamine hydrochloride/brompheniramine maleate,DRP-11803 | DRP-12064,same_brand_name_has_multiple_generic_names
nexium®,esomeprazole (as magnesium trihydrate) | esomeprazole (as sodium),DR-XY29595 | DRP-8015,same_brand_name_has_multiple_generic_names
zepdril,cefradine | cefradine (as monohydrate),DR-XY27095 | DR-XY35150,same_brand_name_has_multiple_generic_names
dexticort,dexamethasone (as sodium phosphate) | dexamethasone phosphate (as sodium) | dexamethasone sodium phosphate,DR-XY27158 | DR-XY27756 | DR-XY28147,same_brand_name_has_multiple_generic_names
roxon,ceftriaxone (as sodium) | ceftriaxone sodium,DR-XY27283 | DR-XY27286,same_brand_name_has_multiple_generic_names
efamed plus,guaifenesin + salbutamol | guaifenesin + salbutamol (as sulfate),DR-XY27288 | DR-XY36247,same_brand_name_has_multiple_generic_names
symbicort,budesonide + formoterol fumarate dihydrate | budesonide / formoterol fumarate dihydrate,DR-XY27297 | DR-XY31118,same_brand_name_has_multiple_generic_names
tidact,clindamycin (as hydrochloride) | clindamycin (as phosphate),DRP-1039 | DRP-7835,same_brand_name_has_multiple_generic_names
zegen,cefuroxime (as axetil) | cefuroxime (as sodium),DR-XY27790 | DR-XY47592,same_brand_name_has_multiple_generic_names
powervit,multivitamins + minerals | multivitamins+minerals,DR-XY27883 | DRP-13180,same_brand_name_has_multiple_generic_names
zyrcef,cefaclor | cefaclor (as monohdyrate),DR-XY27981 | DRP-3573-03,same_brand_name_has_multiple_generic_names
xyzal,levocetirizine | levocetirizine dihydrochloride,DR-XY33392 | DR-XY37522,same_brand_name_has_multiple_generic_names
co-amoxiclav,clavoxel | megaclav,DR-XY28161 | DRP-7485-01,same_brand_name_has_multiple_generic_names
