Drug A,Drug B,Comparison Type,Jaro-Winkler Sim,Levenshtein Dist,Soundex Match
Mepron (Brand),metyrosine (Generic),Brand-to-Generic,0.8222,5,50%
Onureg (Brand),Onsura (Brand),Brand-to-Brand,0.8222,3,50%
Vidaza (Brand),Viagra (Brand),Brand-to-Brand,0.8222,3,50%
Azasan (Brand),Azactam (Brand),Brand-to-Brand,0.8222,3,75%
Pre-Pen (Brand),Epipen (Brand),Brand-to-Brand,0.8222,3,50%
Pre-Pen (Brand),Pregnyl (Brand),Brand-to-Brand,0.8222,4,75%
Valnac (Brand),Valtoco (Brand),Brand-to-Brand,0.8222,3,75%
Valnac (Brand),Valcyte (Brand),Brand-to-Brand,0.8222,4,50%
Valnac (Brand),Valcyte (Brand),Brand-to-Brand,0.8222,4,50%
Valnac (Brand),Valstar (Brand),Brand-to-Brand,0.8222,3,50%
Mentax (Brand),Mesnex (Brand),Brand-to-Brand,0.8222,3,50%
Ilaris (Brand),Cialis (Brand),Brand-to-Brand,0.8222,3,25%
Truqap (Brand),Truxima (Brand),Brand-to-Brand,0.8222,4,75%
Cimzia (Brand),Cimerli (Brand),Brand-to-Brand,0.8222,4,50%
Evoxac (Brand),Evomela (Brand),Brand-to-Brand,0.8222,4,50%
Clobex (Brand),Cloderm (Brand),Brand-to-Brand,0.8222,3,50%
Clomid (Brand),Locoid (Brand),Brand-to-Brand,0.8222,3,0%
Clomid (Brand),Cloderm (Brand),Brand-to-Brand,0.8222,4,50%
copper (Generic),Compro (Brand),Generic-to-Brand,0.8222,3,25%
Crotan (Brand),crizotinib (Generic),Brand-to-Generic,0.8222,5,50%
Copper (Brand),Compro (Brand),Brand-to-Brand,0.8222,3,25%
Prolia (Brand),Procrit (Brand),Brand-to-Brand,0.8222,3,50%
Prolia (Brand),Proscar (Brand),Brand-to-Brand,0.8222,3,50%
Prolia (Brand),Prograf (Brand),Brand-to-Brand,0.8222,3,50%
Hemady (Brand),Hemangeol (Brand),Brand-to-Brand,0.8222,5,50%
Oracea (Brand),Oralone (Brand),Brand-to-Brand,0.8222,4,50%
Relpax (Brand),Reglan (Brand),Brand-to-Brand,0.8222,3,25%
Relpax (Brand),Relenza (Brand),Brand-to-Brand,0.8222,4,75%
Erelzi (Brand),Ermeza (Brand),Brand-to-Brand,0.8222,3,75%
Femhrt (Brand),Femring (Brand),Brand-to-Brand,0.8222,4,75%
Endari (Brand),enoxaparin sodium (Generic),Brand-to-Generic,0.8222,5,50%
Endari (Brand),ensartinib (Generic),Brand-to-Generic,0.8222,5,75%
Zirgan (Brand),Zirabev (Brand),Brand-to-Brand,0.8222,4,50%
Iressa (Brand),irbesartan (Generic),Brand-to-Generic,0.8222,5,50%
Sustol (Brand),Susvimo (Brand),Brand-to-Brand,0.8222,4,50%
Cortef (Brand),Corvert (Brand),Brand-to-Brand,0.8222,3,50%
Cortef (Brand),Cortrosyn (Brand),Brand-to-Brand,0.8222,5,75%
Sovuna (Brand),Sovaldi (Brand),Brand-to-Brand,0.8222,4,50%
Atarax (Brand),Atacand (Brand),Brand-to-Brand,0.8222,3,50%
Atarax (Brand),Atacand (Brand),Brand-to-Brand,0.8222,3,50%
Leqvio (Brand),Leqembi (Brand),Brand-to-Brand,0.8222,4,50%
Acular (Brand),Acthar (Brand),Brand-to-Brand,0.8222,2,75%
Femara (Brand),Femring (Brand),Brand-to-Brand,0.8222,4,75%
Mirena (Brand),Retin-A (Brand),Brand-to-Brand,0.8222,4,50%
Mirena (Brand),Mirvaso (Brand),Brand-to-Brand,0.8222,4,50%
Ativan (Brand),atovaquone (Generic),Brand-to-Generic,0.8222,5,75%
Lialda (Brand),Livalo (Brand),Brand-to-Brand,0.8222,3,50%
Reglan (Brand),Regonol (Brand),Brand-to-Brand,0.8222,4,50%
Reglan (Brand),Relafen Ds (Brand),Brand-to-Brand,0.8222,6,50%
Demser (Brand),Depo-Medrol (Brand),Brand-to-Brand,0.8222,6,25%
Mitigo (Brand),Mitosol (Brand),Brand-to-Brand,0.8222,3,75%
Lampit (Brand),Lamisil (Brand),Brand-to-Brand,0.8222,3,50%
Lampit (Brand),Lamisil (Brand),Brand-to-Brand,0.8222,3,50%
Camila (Brand),Campath (Brand),Brand-to-Brand,0.8222,4,50%
Turqoz (Brand),Turalio (Brand),Brand-to-Brand,0.8222,4,50%
Daypro (Brand),Dayvigo (Brand),Brand-to-Brand,0.8222,3,75%
Invega (Brand),Inpefa (Brand),Brand-to-Brand,0.8222,2,75%
Aredia (Brand),Arestin (Brand),Brand-to-Brand,0.8222,3,50%
Elitek (Brand),Elinest (Brand),Brand-to-Brand,0.8222,3,75%
Neupro (Brand),Nephroscan (Brand),Brand-to-Brand,0.8222,6,75%
Sutent (Brand),suvorexant (Generic),Brand-to-Generic,0.8222,5,25%
Arazlo (Brand),Arakoda (Brand),Brand-to-Brand,0.8222,4,75%
Granix (Brand),Gralise (Brand),Brand-to-Brand,0.8222,3,75%
Tyzine (Brand),Tyenne (Brand),Brand-to-Brand,0.8222,2,50%
Tyzine (Brand),Tyzavan (Brand),Brand-to-Brand,0.8222,4,50%
Thiola (Brand),Thalitone (Brand),Brand-to-Brand,0.8222,5,50%
Tivdak (Brand),Tivicay (Brand),Brand-to-Brand,0.8222,3,50%
Tasmar (Brand),Tasigna (Brand),Brand-to-Brand,0.8222,4,50%
Renova (Brand),Renagel (Brand),Brand-to-Brand,0.8222,4,50%
Velban (Brand),Velcade (Brand),Brand-to-Brand,0.8222,3,50%
Prialt (Brand),Priftin (Brand),Brand-to-Brand,0.8222,4,75%
Kengreal (Brand),Kerendia (Brand),Brand-to-Brand,0.8222,6,25%
Tegretol (Brand),Testopel (Brand),Brand-to-Brand,0.8222,5,50%
Brineura (Brand),Brukinsa (Brand),Brand-to-Brand,0.8222,5,50%
Cotellic (Brand),Colestid (Brand),Brand-to-Brand,0.8222,4,25%
Dawnzera (Brand),Danyelza (Brand),Brand-to-Brand,0.8222,4,50%
Orilissa (Brand),orlistat (Generic),Brand-to-Generic,0.8222,3,100%
Elrexfio (Brand),Elfabrio (Brand),Brand-to-Brand,0.8222,4,50%
Propecia (Brand),Pre-Op Ii (Brand),Brand-to-Brand,0.8222,4,75%
Propecia (Brand),Prevacid (Brand),Brand-to-Brand,0.8222,4,100%
Vistaril (Brand),Vitrakvi (Brand),Brand-to-Brand,0.8222,5,25%
lactitol (Generic),Lamictal (Brand),Generic-to-Brand,0.8222,4,50%
Relistor (Brand),Retrovir (Brand),Brand-to-Brand,0.8222,5,25%
naloxone hydrochloride (Generic),naproxen (Generic),Generic-to-Generic,0.8222,4,25%
naloxone hydrochloride (Generic),naproxen sodium (Generic),Generic-to-Generic,0.8222,4,25%
Restoril (Brand),Retrovir (Brand),Brand-to-Brand,0.8222,4,25%
alectinib hydrochloride (Generic),alpelisib (Generic),Generic-to-Generic,0.8222,4,50%
carbachol (Generic),Carbidopa (Brand),Generic-to-Brand,0.8222,5,75%
carbachol (Generic),Carbidopa (Brand),Generic-to-Brand,0.8222,5,75%
Carbatrol (Brand),Carbidopa (Brand),Brand-to-Brand,0.8222,5,100%
Carbatrol (Brand),Carbidopa (Brand),Brand-to-Brand,0.8222,5,100%
Cortrosyn (Brand),Cortenema (Brand),Brand-to-Brand,0.8222,5,75%
Ferriprox (Brand),Ferrlecit (Brand),Brand-to-Brand,0.8222,5,50%
diazoxide (Generic),diroximel fumarate (Generic),Generic-to-Generic,0.8222,4,50%
estradiol (Generic),Estrogens (Brand),Generic-to-Brand,0.8222,5,100%
estradiol acetate (Generic),Estrogens (Brand),Generic-to-Brand,0.8222,5,100%
Estradiol Valerate (Brand),Estrogens (Brand),Brand-to-Brand,0.8222,5,100%
Pramosone (Brand),primidone (Generic),Brand-to-Generic,0.8222,3,75%
ibrutinib (Generic),ibutilide fumarate (Generic),Generic-to-Generic,0.8222,4,50%
Neoprofen (Brand),nepafenac (Generic),Brand-to-Generic,0.8222,5,50%
methadone hydrochloride (Generic),Methitest (Brand),Generic-to-Brand,0.8222,5,75%
Tri-Linyah (Brand),Trileptal (Brand),Brand-to-Brand,0.8222,4,75%
Tri-Lo-Mili (Brand),Trileptal (Brand),Brand-to-Brand,0.8222,5,75%
patiromer (Generic),patisiran (Generic),Generic-to-Generic,0.8222,5,50%
sorafenib (Generic),sotorasib (Generic),Generic-to-Generic,0.8222,5,25%
tivozanib (Generic),tizanidne hydrochloride (Generic),Generic-to-Generic,0.8222,5,25%
Trazimera (Brand),trazodone hydrochloride (Generic),Brand-to-Generic,0.8222,5,75%
aducanumab (Generic),galcanezumab (Generic),Generic-to-Generic,0.8222,5,50%
carmustine (Generic),bendamustine hydrochloride (Generic),Generic-to-Generic,0.8222,5,0%
daclizumab (Generic),benralizumab (Generic),Generic-to-Generic,0.8222,5,0%
emicizumab (Generic),lebrikizumab (Generic),Generic-to-Generic,0.8222,4,25%
enasidenib mesylate (Generic),olutasidenib (Generic),Generic-to-Generic,0.8222,4,0%
ergotamine tartrate (Generic),deferoxamine mesylate (Generic),Generic-to-Generic,0.8222,5,0%
isatuximab (Generic),margetuximab (Generic),Generic-to-Generic,0.8222,5,0%
ivosidenib (Generic),olutasidenib (Generic),Generic-to-Generic,0.8222,5,0%
ixekizumab (Generic),tislelizumab (Generic),Generic-to-Generic,0.8222,4,25%
laronidase (Generic),glucarpidase (Generic),Generic-to-Generic,0.8222,5,0%
omalizumab (Generic),benralizumab (Generic),Generic-to-Generic,0.8222,4,25%
siltuximab (Generic),zolbetuximab (Generic),Generic-to-Generic,0.8222,4,25%
trametinib (Generic),fostamatinib (Generic),Generic-to-Generic,0.8222,5,0%
atorvastatin calcium (Generic),rosuvastatin (Generic),Generic-to-Generic,0.8222,4,0%
benralizumab (Generic),inebilizumab (Generic),Generic-to-Generic,0.8222,5,50%
berotralstat hydrochloride (Generic),sebetralstat (Generic),Generic-to-Generic,0.8222,3,50%
itraconazole (Generic),pantoprazole sodium (Generic),Generic-to-Generic,0.8222,7,0%
itraconazole (Generic),voriconazole (Generic),Generic-to-Generic,0.8222,3,0%
lansoprazole (Generic),pantoprazole sodium (Generic),Generic-to-Generic,0.8222,2,50%
Tromethamine (Brand),promethazine hydrochloride (Generic),Brand-to-Generic,0.8222,2,75%
Secuado (Brand),secnidazole (Generic),Brand-to-Generic,0.8217,6,50%
Avastin (Brand),avapritinib (Generic),Brand-to-Generic,0.8217,5,50%
Procrit (Brand),Prostascint (Brand),Brand-to-Brand,0.8217,6,75%
Balziva (Brand),balsalazide sodium (Generic),Brand-to-Generic,0.8217,6,75%
Tri-Mili (Brand),trilaciclib (Generic),Brand-to-Generic,0.8217,5,50%
Folotyn (Brand),follitropin (Generic),Brand-to-Generic,0.8217,6,75%
Regonol (Brand),regadenoson (Generic),Brand-to-Generic,0.8217,6,50%
Desyrel (Brand),desogestrel (Generic),Brand-to-Generic,0.8217,5,50%
desipramine hydrochloride (Generic),desmopressin acetate (Generic),Generic-to-Generic,0.8215,6,50%
triptorelin (Generic),triheptanoin (Generic),Generic-to-Generic,0.8215,6,100%
Katerzia (Brand),Verkazia (Brand),Brand-to-Brand,0.8214,5,25%
Lotensin (Brand),Celontin (Brand),Brand-to-Brand,0.8214,5,25%
Vectical (Brand),Tecvayli (Brand),Brand-to-Brand,0.8214,6,25%
elagolix (Generic),Gozellix (Brand),Generic-to-Brand,0.8214,5,0%
Nivestym (Brand),Inveltys (Brand),Brand-to-Brand,0.8214,4,0%
Takhzyro (Brand),Khapzory (Brand),Brand-to-Brand,0.8214,6,0%
methacholine chloride (Generic),methylene blue (Generic),Generic-to-Generic,0.8214,9,50%
alendronate sodium (Generic),Albendazole (Brand),Generic-to-Brand,0.8212,6,50%
necitumumab (Generic),nemolizumab (Generic),Generic-to-Generic,0.8212,5,25%
ranibizumab (Generic),ravulizumab (Generic),Generic-to-Generic,0.8212,3,50%
teclistamab (Generic),telmisartan (Generic),Generic-to-Generic,0.8212,6,50%
nitroglycerin (Generic),sodium nitroprusside (Generic),Generic-to-Generic,0.8212,8,75%
drospirenone and estetrol (Generic),estradiol and progesterone (Generic),Generic-to-Generic,0.8212,17,0%
selumetinib (Generic),Selenious Acid (Brand),Generic-to-Brand,0.8209,10,75%
codeine hydrochloride nasal (Generic),Cycloserine (Brand),Generic-to-Brand,0.8208,5,25%
codeine phosphate (Generic),Cycloserine (Brand),Generic-to-Brand,0.8208,5,25%
Avalide (Brand),Apalutamide (Brand),Brand-to-Brand,0.8208,5,100%
estradiol (Generic),etrasimod (Generic),Generic-to-Generic,0.8208,4,25%
estradiol acetate (Generic),etrasimod (Generic),Generic-to-Generic,0.8208,4,25%
Estradiol Valerate (Brand),etrasimod (Generic),Brand-to-Generic,0.8208,4,25%
clascoterone (Generic),calcipotriene (Generic),Generic-to-Generic,0.8208,7,75%
tralokinumab (Generic),tildrakizumab (Generic),Generic-to-Generic,0.8208,6,25%
Septocaine (Brand),scopolamine (Generic),Brand-to-Generic,0.8207,5,50%
cemiplimab (Generic),cosibelimab (Generic),Generic-to-Generic,0.8207,4,75%
crizotinib (Generic),cobimetinib (Generic),Generic-to-Generic,0.8207,4,50%
lanreotide acetate (Generic),linaclotide (Generic),Generic-to-Generic,0.8207,4,50%
lomitapide mesylate (Generic),lamotrigine (Generic),Generic-to-Generic,0.8207,6,75%
metyrosine (Generic),miltefosine (Generic),Generic-to-Generic,0.8207,4,25%
pacritinib (Generic),pemigatinib (Generic),Generic-to-Generic,0.8207,5,50%
sertraline hydrochloride (Generic),sarecycline hydrochloride (Generic),Generic-to-Generic,0.8207,5,50%
somatropin (Generic),sumatriptan (Generic),Generic-to-Generic,0.8207,4,100%
somatropin (Generic),sumatriptan succinate (Generic),Generic-to-Generic,0.8207,4,100%
tazarotene (Generic),trifarotene (Generic),Generic-to-Generic,0.8207,3,25%
teplizumab (Generic),tocilizumab (Generic),Generic-to-Generic,0.8207,3,75%
vismodegib (Generic),vorasidenib (Generic),Generic-to-Generic,0.8207,6,50%
methoxsalen (Generic),methamphetamine hydrochloride (Generic),Generic-to-Generic,0.8206,9,50%
ethiodized oil (Generic),ethinyl estradiol (Generic),Generic-to-Generic,0.8205,10,50%
trazodone hydrochloride oral (Generic),oral semaglutide (Generic),Generic-to-Generic,0.8202,14,25%
velmanase alfa (Generic),follitropin alfa (Generic),Generic-to-Generic,0.8202,10,25%
Crexont (Brand),Crestor (Brand),Brand-to-Brand,0.82,4,75%
Acthrel (Brand),Actemra (Brand),Brand-to-Brand,0.82,4,75%
Valtoco (Brand),Valcyte (Brand),Brand-to-Brand,0.82,4,50%
Valtoco (Brand),Valcyte (Brand),Brand-to-Brand,0.82,4,50%
Kisunla (Brand),Kisqali (Brand),Brand-to-Brand,0.82,3,50%
Revcovi (Brand),Revatio (Brand),Brand-to-Brand,0.82,4,50%
Proscar (Brand),Prograf (Brand),Brand-to-Brand,0.82,3,100%
Perjeta (Brand),Pertzye (Brand),Brand-to-Brand,0.82,4,50%
Elinest (Brand),Elimite (Brand),Brand-to-Brand,0.82,4,75%
Natpara (Brand),Natroba (Brand),Brand-to-Brand,0.82,3,50%
Istodax (Brand),Istalol (Brand),Brand-to-Brand,0.82,4,75%
lorazepam (Generic),loratadine (Generic),Generic-to-Generic,0.82,6,50%
methadone hydrochloride (Generic),Methergine (Brand),Generic-to-Brand,0.82,4,50%
Methitest (Brand),Methergine (Brand),Brand-to-Brand,0.82,6,75%
prasugrel hydrochloride (Generic),prasterone (Generic),Generic-to-Generic,0.82,5,75%
selexipag (Generic),selegiline (Generic),Generic-to-Generic,0.82,5,75%
selexipag (Generic),selegiline hydrochloride (Generic),Generic-to-Generic,0.82,5,75%
aceclidine (Generic),Azulfidine (Brand),Generic-to-Brand,0.82,4,50%
daclizumab (Generic),durvalumab (Generic),Generic-to-Generic,0.82,5,25%
ergotamine tartrate (Generic),esketamine hydrochloride (Generic),Generic-to-Generic,0.82,3,25%
lenvatinib (Generic),lorlatinib (Generic),Generic-to-Generic,0.82,3,50%
Provayblue (Brand),Provocholine (Brand),Brand-to-Brand,0.82,6,75%
Methergine (Brand),Methsuximide (Brand),Brand-to-Brand,0.82,6,75%
risankizumab (Generic),rozanolixizumab (Generic),Generic-to-Generic,0.82,6,75%
Elspar (Brand),Filspari (Brand),Brand-to-Brand,0.8194,3,75%
Mepron (Brand),gepirone (Generic),Brand-to-Generic,0.8194,3,75%
Mepron (Brand),Eprontia (Brand),Brand-to-Brand,0.8194,4,75%
Clomid (Brand),Thalomid (Brand),Brand-to-Brand,0.8194,3,75%
Naftin (Brand),afatinib (Generic),Brand-to-Generic,0.8194,4,75%
Naftin (Brand),afatinib mesylate (Generic),Brand-to-Generic,0.8194,4,75%
Nipent (Brand),Dipentum (Brand),Brand-to-Brand,0.8194,3,75%
Compro (Brand),iomeprol (Generic),Brand-to-Generic,0.8194,3,75%
Compro (Brand),iomeprol injection (Generic),Brand-to-Generic,0.8194,3,75%
Sabril (Brand),Abrilada (Brand),Brand-to-Brand,0.8194,4,75%
crizotinib (Generic),crizanlizumab (Generic),Generic-to-Generic,0.8191,7,75%
Arestin (Brand),paroxetine (Generic),Brand-to-Generic,0.819,5,75%
Arestin (Brand),paroxetine hydrochloride (Generic),Brand-to-Generic,0.819,5,75%
Elinest (Brand),belinostat (Generic),Brand-to-Generic,0.819,4,75%
methocarbamol (Generic),metoclopramide hydrochloride (Generic),Generic-to-Generic,0.8189,8,75%
carboplatin (Generic),carbinoxamine maleate (Generic),Generic-to-Generic,0.8185,6,75%
fenofibrate (Generic),Fenopron Tm (Brand),Generic-to-Brand,0.8182,6,75%
Albendazole (Brand),valbenazine (Generic),Brand-to-Generic,0.8182,4,75%
Tri-Lo-Marzia (Brand),trilaciclib (Generic),Brand-to-Generic,0.8182,6,75%
pentostatin (Generic),phentolamine mesylate (Generic),Generic-to-Generic,0.8182,5,75%
pralsetinib (Generic),Pralidoxime Chloride (Brand),Generic-to-Brand,0.8182,7,75%
zongertinib (Generic),zanubrutinib (Generic),Generic-to-Generic,0.8182,4,75%
dichlorphenamide (Generic),diclofenac epolamine (Generic),Generic-to-Generic,0.818,11,75%
Prostascint (Brand),promethazine (Generic),Brand-to-Generic,0.8179,6,75%
Prostascint (Brand),promethazine hydrochloride (Generic),Brand-to-Generic,0.8179,6,75%
estradiol valproate (Generic),estrogen conjugated (Generic),Generic-to-Generic,0.8179,12,100%
prasterone (Generic),progesterone (Generic),Generic-to-Generic,0.8178,3,75%
capsaicin (Generic),capivasertib (Generic),Generic-to-Generic,0.8176,7,75%
Premarin (Brand),promethazine (Generic),Brand-to-Generic,0.8175,6,75%
Premarin (Brand),promethazine hydrochloride (Generic),Brand-to-Generic,0.8175,6,75%
Premarin (Brand),promethazine (Generic),Brand-to-Generic,0.8175,6,75%
Premarin (Brand),promethazine hydrochloride (Generic),Brand-to-Generic,0.8175,6,75%
Betadine (Brand),bendamustine hydrochloride (Generic),Brand-to-Generic,0.8175,6,75%
brensocatib (Generic),bremelanotide (Generic),Generic-to-Generic,0.8175,8,75%
cariprazine (Generic),carbinoxamine maleate (Generic),Generic-to-Generic,0.8175,5,75%
terbinafine (Generic),teriflunomide (Generic),Generic-to-Generic,0.8175,7,75%
terbinafine hydrochloride (Generic),teriflunomide (Generic),Generic-to-Generic,0.8175,7,75%
ensartinib (Generic),ensifentrine (Generic),Generic-to-Generic,0.8172,7,75%
pitolisant hydrochloride (Generic),pitavastatin calcium (Generic),Generic-to-Generic,0.8172,7,75%
pitolisant hydrochloride (Generic),Pitavastatin (Brand),Generic-to-Brand,0.8172,7,75%
pitolisant hydrochloride (Generic),Pitavastatin (Brand),Generic-to-Brand,0.8172,7,75%
carbinoxamine maleate (Generic),Carbidopa-Levodopa (Brand),Generic-to-Brand,0.8172,10,75%
hydroxocobalamin (Generic),hydrochlorothiazide (Generic),Generic-to-Generic,0.8169,10,100%
Naftin (Brand),neratinib (Generic),Brand-to-Generic,0.8167,5,75%
Norvasc (Brand),Norpace Cr (Brand),Brand-to-Brand,0.8167,5,100%
Norvasc (Brand),Norpace Cr (Brand),Brand-to-Brand,0.8167,5,100%
Eliquis (Brand),eliglustat (Generic),Brand-to-Generic,0.8167,6,75%
Mirvaso (Brand),mirabegron (Generic),Brand-to-Generic,0.8167,6,100%
Brixadi (Brand),brigatinib (Generic),Brand-to-Generic,0.8167,5,100%
Atacand (Brand),atazanavir (Generic),Brand-to-Generic,0.8167,5,100%
Perjeta (Brand),permethrin (Generic),Brand-to-Generic,0.8167,5,75%
Tresiba (Brand),treosulfan (Generic),Brand-to-Generic,0.8167,5,75%
Benicar (Brand),benazepril hydrochloride (Generic),Brand-to-Generic,0.8167,6,75%
Lamzede (Brand),lamivudine (Generic),Brand-to-Generic,0.8167,5,75%
Praluent (Brand),pralatrexate (Generic),Brand-to-Generic,0.8167,6,75%
Promacta (Brand),promethazine (Generic),Brand-to-Generic,0.8167,7,75%
Promacta (Brand),promethazine hydrochloride (Generic),Brand-to-Generic,0.8167,7,75%
albuterol sulfate (Generic),Albendazole (Brand),Generic-to-Brand,0.8162,6,75%
Carbidopa (Brand),cariprazine (Generic),Brand-to-Generic,0.8162,8,75%
Carbidopa (Brand),cariprazine (Generic),Brand-to-Generic,0.8162,8,75%
clonidine (Generic),clopidogrel (Generic),Generic-to-Generic,0.8162,5,75%
clonidine hydrochloride (Generic),clopidogrel (Generic),Generic-to-Generic,0.8162,5,75%
Tecfidera (Brand),tecovirimat monohydrate (Generic),Brand-to-Generic,0.8162,6,75%
entecavir (Generic),entrectinib (Generic),Generic-to-Generic,0.8162,5,75%
revumenib (Generic),revefenacin (Generic),Generic-to-Generic,0.8162,5,75%
tedizolid phosphate (Generic),teduglutide (Generic),Generic-to-Generic,0.8162,6,100%
hydroxocobalamin (Generic),hydrocortisone acetate urea (Generic),Generic-to-Generic,0.8162,12,100%
Trisenox (Brand),Tri-Sprintec (Brand),Brand-to-Brand,0.8159,6,75%
Colestid (Brand),colesevelam hydrochloride (Generic),Brand-to-Generic,0.8159,6,75%
Cyclogyl (Brand),Cycloserine (Brand),Brand-to-Brand,0.8159,6,100%
Procysbi (Brand),Proctosol-Hc (Brand),Brand-to-Brand,0.8159,6,75%
Propecia (Brand),propranolol hydrochloride (Generic),Brand-to-Generic,0.8159,7,75%
Voraxaze (Brand),vorasidenib (Generic),Brand-to-Generic,0.8159,6,75%
Somavert (Brand),somapacitan (Generic),Brand-to-Generic,0.8159,6,75%
brigatinib (Generic),baricitinib (Generic),Generic-to-Generic,0.8155,3,100%
methoxsalen (Generic),Methsuximide (Brand),Generic-to-Brand,0.8154,7,75%
trifarotene (Generic),trifluridine (Generic),Generic-to-Generic,0.8154,5,75%
nitazoxanide (Generic),nitric oxide (Generic),Generic-to-Generic,0.8153,6,75%
paliperidone (Generic),palovarotene (Generic),Generic-to-Generic,0.8153,6,100%
Lumigan (Brand),Lumizyme (Brand),Brand-to-Brand,0.8143,4,100%
Lotemax (Brand),Lotensin (Brand),Brand-to-Brand,0.8143,4,100%
Crestor (Brand),Cresemba (Brand),Brand-to-Brand,0.8143,4,75%
Zelapar (Brand),Zaltrap (Brand),Brand-to-Brand,0.8143,4,75%
Valcyte (Brand),Valchlor (Brand),Brand-to-Brand,0.8143,4,75%
Valcyte (Brand),Valchlor (Brand),Brand-to-Brand,0.8143,4,75%
folic acid (Generic),Follistim Aq (Brand),Generic-to-Brand,0.814,8,75%
Aloprim (Brand),olaparib (Generic),Brand-to-Generic,0.8135,4,75%
Uplizna (Brand),Nuplazid (Brand),Brand-to-Brand,0.8135,4,75%
Minocin (Brand),Omniscan (Brand),Brand-to-Brand,0.8135,5,75%
Zelapar (Brand),Elaprase (Brand),Brand-to-Brand,0.8135,4,75%
Qelbree (Brand),Celebrex (Brand),Brand-to-Brand,0.8135,3,75%
Paser (Brand),Pacerone (Brand),Brand-to-Brand,0.8133,4,75%
Enoby (Brand),Enbumyst (Brand),Brand-to-Brand,0.8133,5,75%
Averi (Brand),Aveed (Brand),Brand-to-Brand,0.8133,2,75%
Sprix (Brand),Sporanox (Brand),Brand-to-Brand,0.8133,4,75%
Creon (Brand),cromolyn sodium (Generic),Brand-to-Generic,0.8133,4,75%
Ery-Tab (Brand),Erythrocin (Brand),Brand-to-Brand,0.8133,6,75%
belatacept (Generic),belinostat (Generic),Generic-to-Generic,0.8133,6,75%
Methergine (Brand),metyrapone (Generic),Brand-to-Generic,0.8133,5,75%
levothyroxine sodium (Generic),levonorgestrel (Generic),Generic-to-Generic,0.8124,9,75%
Brexafemme (Brand),brexpiprazole (Generic),Brand-to-Generic,0.8123,8,100%
amikacin (Generic),amoxicillin (Generic),Generic-to-Generic,0.8121,6,100%
ensartinib (Generic),ensitrelvir (Generic),Generic-to-Generic,0.8118,6,75%
metyrapone (Generic),metreleptin (Generic),Generic-to-Generic,0.8118,7,75%
metyrosine (Generic),metreleptin (Generic),Generic-to-Generic,0.8118,7,75%
Bumex (Brand),Bimzelx (Brand),Brand-to-Brand,0.8114,3,75%
Sprix (Brand),Saphris (Brand),Brand-to-Brand,0.8114,3,100%
Sprix (Brand),Syprine (Brand),Brand-to-Brand,0.8114,3,75%
cysteamine hydrochloride (Generic),Cysto-Conray Ii (Brand),Generic-to-Brand,0.8114,9,75%
Cystadrops (Brand),Cysto-Conray Ii (Brand),Brand-to-Brand,0.8114,9,75%
Clindacin Etz (Brand),clonidine hydrochloride oral (Generic),Brand-to-Generic,0.8114,9,100%
belimumab (Generic),belinostat (Generic),Generic-to-Generic,0.8111,5,75%
clonidine (Generic),clonazepam (Generic),Generic-to-Generic,0.8111,6,75%
clonidine hydrochloride (Generic),clonazepam (Generic),Generic-to-Generic,0.8111,6,75%
Norpramin (Brand),Norpace Cr (Brand),Brand-to-Brand,0.8111,6,75%
Cardamyst (Brand),Cardura Xl (Brand),Brand-to-Brand,0.8111,6,75%
Methadose (Brand),Methergine (Brand),Brand-to-Brand,0.8111,5,75%
Nitrostat (Brand),nitric oxide (Generic),Brand-to-Generic,0.8111,7,100%
Lumisight (Brand),Lumi-Sporyn (Brand),Brand-to-Brand,0.8111,5,75%
peramivir (Generic),perampanel (Generic),Generic-to-Generic,0.8111,5,100%
Aloprim (Brand),alprazolam (Generic),Brand-to-Generic,0.8108,6,100%
Suprane (Brand),suvorexant (Generic),Brand-to-Generic,0.8108,5,75%
Lanoxin (Brand),Lasix Onyu (Brand),Brand-to-Brand,0.8108,6,75%
Amidate (Brand),amantadine hydrochloride (Generic),Brand-to-Generic,0.8108,6,75%
Amidate (Brand),Amantadine (Brand),Brand-to-Brand,0.8108,6,75%
Semglee (Brand),selegiline (Generic),Brand-to-Generic,0.8108,5,75%
Semglee (Brand),selegiline hydrochloride (Generic),Brand-to-Generic,0.8108,5,75%
Norvir (Brand),Norpramin (Brand),Brand-to-Brand,0.8107,5,100%
Ultram (Brand),Ultomiris (Brand),Brand-to-Brand,0.8107,5,75%
Intropin (Brand),Genotropin (Brand),Brand-to-Brand,0.8107,3,75%
Tirosint (Brand),Tri-Sprintec (Brand),Brand-to-Brand,0.8106,6,75%
Fenopron Tm (Brand),Fenofibric Acid (Brand),Brand-to-Brand,0.8106,9,75%
cyclobenzaprine hydrochloride (Generic),cyclophosphamide (Generic),Generic-to-Generic,0.8103,9,100%
ceritinib (Generic),mirdametinib (Generic),Generic-to-Generic,0.8102,6,75%
dasatinib (Generic),fostamatinib (Generic),Generic-to-Generic,0.8102,5,75%
Orenitram (Brand),iron dextran (Generic),Brand-to-Generic,0.8102,7,75%
lamotrigine (Generic),larotrectinib (Generic),Generic-to-Generic,0.8102,6,75%
fluorouracil (Generic),fluorometholone (Generic),Generic-to-Generic,0.81,8,75%
fluorouracil (Generic),fluorometholone acetate (Generic),Generic-to-Generic,0.81,8,75%
