Drug A,Drug B,Comparison Type,Jaro-Winkler Sim,Levenshtein Dist,Soundex Match
dornase alfa (Generic),darbepoetin alfa (Generic),Generic-to-Generic,0.9307,8,50%
Cystaran (Brand),Cystadane (Brand),Brand-to-Brand,0.9306,2,75%
Estrogel (Brand),Estrogens (Brand),Brand-to-Brand,0.9306,2,100%
Cetrotide (Brand),octreotide (Generic),Brand-to-Generic,0.9296,3,0%
Cetrotide (Brand),octreotide acetate (Generic),Brand-to-Generic,0.9296,3,0%
Neoprofen (Brand),fenoprofen calcium (Generic),Brand-to-Generic,0.9296,2,0%
cerliponase alfa (Generic),darbepoetin alfa (Generic),Generic-to-Generic,0.9295,8,50%
epinephrine bitartrate (Generic),norepinephrine bitartrate (Generic),Generic-to-Generic,0.9295,3,0%
Zyprexa Zydis (Brand),Zyprexa Relprevv (Brand),Brand-to-Brand,0.9292,8,100%
alglucosidase alfa (Generic),taliglucerase alfa (Generic),Generic-to-Generic,0.9289,6,75%
taliglucerase alfa (Generic),velaglucerase alfa (Generic),Generic-to-Generic,0.9287,3,75%
avalglucosidase alfa (Generic),cipaglucosidase alfa (Generic),Generic-to-Generic,0.9286,4,25%
drospirenone and ethinyl estradiol (Generic),norgestimate and ethinyl estradiol (Generic),Generic-to-Generic,0.9286,10,50%
Promethegan (Brand),promethazine (Generic),Brand-to-Generic,0.9285,4,100%
Camcevi (Brand),Camcevi Etm (Brand),Brand-to-Brand,0.9273,4,100%
Minocin (Brand),minocycline (Generic),Brand-to-Generic,0.9273,4,75%
clobetasol propionate (Generic),fluticasone propionate (Generic),Generic-to-Generic,0.9271,7,25%
Cordran (Brand),Cordarone (Brand),Brand-to-Brand,0.927,3,100%
Valstar (Brand),valsartan (Generic),Brand-to-Generic,0.927,3,75%
Drizalma Sprinkle (Brand),Ingrezza Sprinkle (Brand),Brand-to-Brand,0.927,7,25%
drospirenone and ethinyl estradiol (Generic),norethindrone and ethinyl estradiol (Generic),Generic-to-Generic,0.9266,8,25%
dornase alfa (Generic),olipudase alfa (Generic),Generic-to-Generic,0.9263,6,0%
insulin aspart (Generic),insulin degludec (Generic),Generic-to-Generic,0.9257,8,100%
insulin aspart injection (Generic),insulin degludec (Generic),Generic-to-Generic,0.9257,8,100%
olipudase alfa (Generic),cerliponase alfa (Generic),Generic-to-Generic,0.9254,5,0%
Coreg (Brand),Coreg Cr (Brand),Brand-to-Brand,0.925,3,75%
Pred Forte (Brand),Epiduo Forte (Brand),Brand-to-Brand,0.9237,5,50%
filgrastim (Generic),tbo-filgrastim (Generic),Generic-to-Generic,0.9231,3,0%
loratadine (Generic),desloratadine (Generic),Generic-to-Generic,0.9231,3,0%
cerliponase alfa (Generic),vestronidase alfa (Generic),Generic-to-Generic,0.9231,7,0%
deoxycholic acid (Generic),acetohydroxamic acid (Generic),Generic-to-Generic,0.9228,9,25%
tisotumab vedotin (Generic),brentuximab vedotin (Generic),Generic-to-Generic,0.9223,6,0%
tisotumab vedotin (Generic),polatuzumab vedotin (Generic),Generic-to-Generic,0.9223,6,25%
iron dextran (Generic),iron sucrose (Generic),Generic-to-Generic,0.9219,7,75%
norgestrel and ethinyl estradiol (Generic),desogestrel and ethinyl estradiol (Generic),Generic-to-Generic,0.9218,4,50%
alglucosidase alfa (Generic),velaglucerase alfa (Generic),Generic-to-Generic,0.9217,7,75%
penicillin g potassium (Generic),penicillamine (Generic),Generic-to-Generic,0.9205,4,100%
penicillin v potassium (Generic),penicillamine (Generic),Generic-to-Generic,0.9205,4,100%
Penicillin-Vk (Brand),penicillamine (Generic),Brand-to-Generic,0.9205,4,100%
amivantamab and hyaluronidase (Generic),atezolizumab and hyaluronidase (Generic),Generic-to-Generic,0.9203,8,25%
fosfomycin promethazine (Generic),fostemsavir promethazine (Generic),Generic-to-Generic,0.9201,6,75%
Diovan (Brand),Diovan Hct (Brand),Brand-to-Brand,0.92,4,75%
Larotid (Brand),lanreotide acetate (Generic),Brand-to-Generic,0.92,3,50%
metyrapone (Generic),metyrosine (Generic),Generic-to-Generic,0.92,3,75%
azelaic acid (Generic),zoledronic acid (Generic),Generic-to-Generic,0.92,7,0%
sildenafil citrate (Generic),sufentanil citrate (Generic),Generic-to-Generic,0.92,5,25%
econazole nitrate (Generic),sertaconazole nitrate (Generic),Generic-to-Generic,0.9197,4,25%
drospirenone and ethinyl estradiol (Generic),etonogestrel and ethinyl estradiol (Generic),Generic-to-Generic,0.9194,10,0%
gadoterate meglumine (Generic),gadobenate dimeglumine (Generic),Generic-to-Generic,0.9189,4,50%
mepolizumab (Generic),pembrolizumab (Generic),Generic-to-Generic,0.9184,4,0%
nivolumab and hyaluronidase (Generic),ocrelizumab and hyaluronidase (Generic),Generic-to-Generic,0.9184,6,0%
doravirine (Generic),dordaviprone (Generic),Generic-to-Generic,0.9183,3,50%
tamoxifen citrate (Generic),sufentanil citrate (Generic),Generic-to-Generic,0.9183,10,0%
ocrelizumab and hyaluronidase (Generic),atezolizumab and hyaluronidase (Generic),Generic-to-Generic,0.9182,5,25%
alglucosidase alfa (Generic),pegunigalsidase alfa (Generic),Generic-to-Generic,0.9178,8,0%
fentanyl citrate (Generic),sildenafil citrate (Generic),Generic-to-Generic,0.9175,7,50%
fluocinolone acetonide (Generic),triamcinolone acetonide (Generic),Generic-to-Generic,0.9171,5,0%
enfortumab vedotin (Generic),polatuzumab vedotin (Generic),Generic-to-Generic,0.9162,7,0%
lisinopril and hydrochlorothiazide (Generic),telmisartan and hydrochlorothiazide (Generic),Generic-to-Generic,0.9162,10,25%
brentuximab vedotin (Generic),telisotuzumab vedotin (Generic),Generic-to-Generic,0.9161,8,25%
