ID,Generic Name,Brand Name,Therapeutic Class,Broad Category,Description,Indication
RAW_1235,silver sulfadiazine,Ssd Cream,Sulfonamide Antibacterial [EPC],Antimicrobials & Infectious Diseases,FDA Approved Prescription Drug. Manufactured by Dr Reddys. Formulation: Cream for Topical administration.,Used as a therapeutic agent for indications related to: Sulfonamide Antibacterial [EPC].
RAW_1236,simvastatin,"Flolipid, Zocor",HMG-CoA Reductase Inhibitor [EPC],Cardiovascular System,FDA Approved Prescription Drug. Manufactured by Organon. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: HMG-CoA Reductase Inhibitor [EPC].
RAW_1237,sincalide,Kinevac,Cholecystokinin Analog [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Bracco. Formulation: Powder for Intravenous administration.,Used as a therapeutic agent for indications related to: Cholecystokinin Analog [EPC].
RAW_1238,sinecatechins,Veregen,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Ani Pharms. Formulation: Ointment for Topical administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1239,siponimod,Mayzent,Sphingosine 1-phosphate Receptor Modulator [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Novartis. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Sphingosine 1-phosphate Receptor Modulator [EPC].
RAW_1240,sirolimus,"Fyarro, Hyftor",mTOR Inhibitor Immunosuppressant [EPC],Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Nobelpharma. Formulation: Gel for Topical administration.,Used as a therapeutic agent for indications related to: mTOR Inhibitor Immunosuppressant [EPC].
RAW_1241,sitagliptin,"Januvia, Saxagliptin",Unknown Class,Endocrine & Metabolic,FDA Approved Prescription Drug. Manufactured by Aurobindo Pharma. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1242,sitagliptin and metformin,Generic Product,Unknown Class,Endocrine & Metabolic,"FDA Approved Prescription Drug. Manufactured by Mylan. Formulation: Tablet, Extended Release for Oral administration.",Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1243,sitagliptin hydrochloride oral,Brynovin,Dipeptidyl Peptidase 4 Inhibitor [EPC],Endocrine & Metabolic,FDA Approved Prescription Drug. Manufactured by Azurity. Formulation: Solution for Oral administration.,Used as a therapeutic agent for indications related to: Dipeptidyl Peptidase 4 Inhibitor [EPC].
RAW_1244,sodium ferric gluconate complex,Ferrlecit,Parenteral Iron Replacement [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Sanofi Aventis Us. Formulation: Injectable for Injection administration.,Used as a therapeutic agent for indications related to: Parenteral Iron Replacement [EPC].
