name_id,name_type,display_name,normalized_name,formulation_ids
BRAND:BRAND_5a2134c49deac37aaa12,brand,Abydium,abydium,FORM_dbfab86177402879ccfe
BRAND:BRAND_cdf6d50b87eb642a5c01,brand,Abymin,abymin,FORM_3c4ee4b7f42882bbc23d
BRAND:BRAND_9415076b1dcb9cda10e3,brand,Ac-Lyte,ac-lyte,FORM_3aa4b4f7b10d5b0a85bd
BRAND:BRAND_e6bcfeb66a64fe170f14,brand,Ac-Lyte 600,ac-lyte 600,FORM_3aa4b4f7b10d5b0a85bd
BRAND:BRAND_eaaf3b696a84922dacab,brand,AC-Nex (Kola Flavor),ac-nex (kola flavor),FORM_67aa87c6507c5bbbbb0b
BRAND:BRAND_5e001cd43abec04c885e,brand,AC-NEX PH,ac-nex ph,FORM_a8c12b2ee008fd9ee399
BRAND:BRAND_5ddb12ff5dab1104cb4e,brand,AC-NEX PH Forte,ac-nex ph forte,FORM_7a3cf4b327e89b64eaa8
BRAND:BRAND_bc5589611b91ca7190e3,brand,Acaldin,acaldin,FORM_178fe3e69d2b49a33039
BRAND:BRAND_bdf4168d795eedb7d065,brand,Acalka,acalka,FORM_178fe3e69d2b49a33039
BRAND:BRAND_39ef48005ea9a1c78660,brand,Acantha,acantha,FORM_83cb3e8303b40995e06c
BRAND:BRAND_b728ce5a161006638217,brand,Acantha Max,acantha max,FORM_98e87524f194e41982c7
BRAND:BRAND_6e3d9bddac1d2a0fd5e5,brand,Acantha Plus,acantha plus,FORM_98e87524f194e41982c7
BRAND:BRAND_414322309db5c06d090a,brand,ACC,acc,FORM_3aa4b4f7b10d5b0a85bd
BRAND:BRAND_cf525f7bcc6a08d577e5,brand,Acce D Forte.,acce d forte.,FORM_ce5a30a92f94232d4856
BRAND:BRAND_5abac9ae5f2675dbdc94,brand,Acce-C,acce-c,FORM_cf676b9749afd1e542e2
BRAND:BRAND_af6cd9bd35a458bd28a5,brand,Acce-Clav,acce-clav,FORM_57f26fcfa00290de0ae3
BRAND:BRAND_c39762b36014c7fda8cf,brand,Acce-Lora,acce-lora,FORM_36286c246e27ad1efba1
BRAND:BRAND_76c48500f677dcfdff02,brand,Acce-Mac,acce-mac,FORM_f4f0029f5f9b7c4bef8d
BRAND:BRAND_9953e85468c54c4f1ab0,brand,Acce-Mycin,acce-mycin,FORM_d796a9e808951f8005b3
BRAND:BRAND_0bd832e23f4a7b72e305,brand,Accebact,accebact,FORM_3848d382ea8931519e4b
BRAND:BRAND_98603870eb5da634b15e,brand,AcceCef,accecef,FORM_e75411f3b5cdf512a6be
BRAND:BRAND_5971fb92a22d3a251b64,brand,Acceclar,acceclar,FORM_9712d583cf8179255286
BRAND:BRAND_7df1f21425a4e5a4c89e,brand,AcceColine,accecoline,FORM_bdaee3b0577708cb2c8c
BRAND:BRAND_99c7aa59d134ae7835ed,brand,Accediazine,accediazine,FORM_8699d9cc042aac7a1555
BRAND:BRAND_1a499659bdc165bd1f51,brand,Accedome,accedome,FORM_c03b9303756f6b29e760
BRAND:BRAND_b0c041136ea9a0decd53,brand,Accefixime,accefixime,FORM_23c1bbbdc228ab2351b7
BRAND:BRAND_da78bdbd248d214a7349,brand,Accefixime Ds,accefixime ds,FORM_23c1bbbdc228ab2351b7
BRAND:BRAND_411a5392a2cf2b45a7ce,brand,Acceketosol,acceketosol,FORM_cab26dae6050fe317751
BRAND:BRAND_a139bdf65876112de67e,brand,Accellac,accellac,FORM_a1cc759236fcad739b81
BRAND:BRAND_6b225bc3085290c51886,brand,Acceluron,acceluron,FORM_caade8771cad3faeaff7
BRAND:BRAND_bae8763959f4643a9aff,brand,Accemazole,accemazole,FORM_f53035420640904ad644
BRAND:BRAND_415a86a1f752b5df22ad,brand,Accemide,accemide,FORM_76ac041cc910a9f18262
BRAND:BRAND_179488075399402cb5fd,brand,Accenate,accenate,FORM_c335f2c7c97eb5ae8dca
BRAND:BRAND_197872ad26765cd8d5c1,brand,Accenicol,accenicol,FORM_734efc7928b8f926191c
BRAND:BRAND_9abd237588adc7617f32,brand,Accepan,accepan,FORM_be65f3ce9e7c96a9b80b
BRAND:BRAND_3c07964a4b3b7a71a6a1,brand,Accephrine,accephrine,FORM_d13d73d7874aa1d24c20
BRAND:BRAND_9c38e1ee938648a82d0c,brand,Accepime,accepime,FORM_cc8167efd07fd27bc45c
BRAND:BRAND_d54251a993712ebd2b13,brand,Access Cee,access cee,FORM_cf676b9749afd1e542e2
BRAND:BRAND_83fe33c476198ced4056,brand,AccessZinc,accesszinc,FORM_ce5a30a92f94232d4856
BRAND:BRAND_f2ee02168c8c63e41869,brand,Accetaxime,accetaxime,FORM_57ede2a580204e6db307
BRAND:BRAND_6bd8b041dcac424b82ff,brand,ACCETHROM,accethrom,FORM_9712d583cf8179255286
BRAND:BRAND_078689a130912e5aa3b6,brand,Accetob,accetob,FORM_ffa0567ed9fa1867534d
BRAND:BRAND_137b5a7fdc027b3d4a56,brand,Accetodex,accetodex,FORM_060107f058f2dc929fb0
BRAND:BRAND_c125d933b40adb1061d0,brand,Accetran,accetran,FORM_fc30c3873522f71e1ef9
BRAND:BRAND_a739d589fcdef446ec79,brand,Accexime,accexime,FORM_b52c56d58e379a9f6fc2
BRAND:BRAND_7405f05f7b84bbb2f4d4,brand,Accexin,accexin,FORM_0103bbf84ff0c39d123a
BRAND:BRAND_0eaf8bdcce6d8a68b2fe,brand,Accexone,accexone,FORM_6cd509c88b776d2fbbe3
BRAND:BRAND_5fe3c9d18e5595725939,brand,Accomin Adult Mixture (For Export Only),accomin adult mixture (for export only),FORM_d2fc456b035e9e604299
BRAND:BRAND_a8343342708eb30760b6,brand,Accoquin,accoquin,FORM_a0b3bddc50013f28a4bf
BRAND:BRAND_b585ebe5d6a9fd40fbc3,brand,Accord Zoledronic 4,accord zoledronic 4,FORM_bbbbabbb1b42050ed66d
BRAND:BRAND_71e1ee9aacfacdd169ba,brand,Accurecin,accurecin,FORM_bf717c7a4de0738e7957
BRAND:BRAND_dbc438db210d60932c09,brand,Aceamen-125,aceamen-125,FORM_54238e9415df5dffbf4b
BRAND:BRAND_04f3d76ecfe5265193d4,brand,Aceamen-250,aceamen-250,FORM_54238e9415df5dffbf4b
BRAND:BRAND_f8e91922ce3041dd8d1d,brand,Aceamen-500,aceamen-500,FORM_54238e9415df5dffbf4b
