brand_id,brand_name_display,brand_name_normalized
BRAND_5153fe4177e63983913c,Rotasiil-Liquid,rotasiil-liquid
BRAND_583aa1a2e5931457aa21,Ceparin,ceparin
BRAND_caa33220ad00c6d8cc25,Ronapreve,ronapreve
BRAND_6b9f1d2fb31d085ba522,Torcand-32,torcand-32
BRAND_ffc324223f119b3dbbd7,Rybrevant,rybrevant
BRAND_665f7e4962c081253ff2,Broncho-Vaxom,broncho-vaxom
BRAND_d6bf81f2bf848a7dec25,Shingrix,shingrix
BRAND_8e1b7dafc0cfc984ade3,Feiba,feiba
BRAND_a34cca9e41a5b0915787,Acellbia,acellbia
BRAND_2c3e5af4ae5f97ed9c1e,Rotarix,rotarix
BRAND_a622d0d9e950bd6e47ec,Laennec,laennec
BRAND_3fa647a1d7123e55cd34,Unihepa,unihepa
BRAND_11851eb109dab34b9463,Pneumocon-13,pneumocon-13
BRAND_b59223f33e79da7d232c,Pneumocon 13,pneumocon 13
BRAND_4c00c0938ea85fca8983,Pneumops 23,pneumops 23
BRAND_ecf434bd490a5df5434c,Botitox Up,botitox up
BRAND_62f24c311543be616c3d,Arexvy,arexvy
BRAND_e61f7ced5002b4b80952,Kirsty,kirsty
BRAND_94d0f2561feeeacb23ca,Imjudo,imjudo
BRAND_44b93b7a4d2ee8dd07c8,Remsima,remsima
BRAND_e7853cf326ad15961273,Ocrevus,ocrevus
BRAND_b36be9c51460e6727b95,Hertumab,hertumab
BRAND_6e59d3890dd38e7e77a5,Enhertu,enhertu
BRAND_9cb714025c70fdfa382e,Jeev,jeev
BRAND_4b9aa9738488ac07365f,Saphnelo,saphnelo
BRAND_2f92b499b90654e96a93,Bavencio,bavencio
BRAND_c2cec3f72d8c5867ebd0,Wegovy,wegovy
BRAND_205596139bf115816a41,Rituxell,rituxell
BRAND_9124c0baa71f7eb2a495,Bevalast,bevalast
BRAND_858de919d252603cddf2,Spevigo,spevigo
BRAND_e7d3d42db3afd0d2ec9a,Hepadur,hepadur
BRAND_1da0229d392c3f388d2e,Bexsero,bexsero
BRAND_7899aa0ee92e02a2ac11,Rojusna,rojusna
BRAND_c2bea48bc186b60cfbc8,Prevenar 20,prevenar 20
BRAND_67066237c1a2f29f6a94,Abrysvo,abrysvo
BRAND_cf869619c0cbd2713517,Forteo,forteo
BRAND_dd70e05faedda153d594,Bett,bett
BRAND_f0577223f3abce27af2d,U-Tryp,u-tryp
BRAND_c68625c67c603b6ac7a9,JoyRab,joyrab
BRAND_c2435907aa3d86b398b6,Enomax,enomax
BRAND_905eb2096b4fcf10be25,Metalyse,metalyse
BRAND_b8f06724d74979925dcb,Fluprevli,fluprevli
BRAND_c5b1afb3e7af16e283eb,Erelzi,erelzi
BRAND_493cf7db86a894fbfd97,Terijack,terijack
BRAND_fc372c11dce26b70197f,Bevakal,bevakal
BRAND_b70cfdae1653a75b7712,Verorab,verorab
BRAND_ce448bc0d4090be6ce30,Typhim Vi,typhim vi
BRAND_03f7dc548d78fc11e7cb,Hepabig,hepabig
BRAND_8e1dc93141bb4d6aac50,Perdinus,perdinus
BRAND_1d6d797e5df68fa689cf,Ditevac,ditevac
BRAND_279428cf9d08d7e09025,T-VAC,t-vac
BRAND_79b953a8de4b6a9edd8d,Hepatitis B Immunoglobulin (Human),hepatitis b immunoglobulin (human)
BRAND_4ab9c6aeb0050c98e37e,M-Vac,m-vac
BRAND_9151f5c82cb0b913306f,Twinrix Adult,twinrix adult
BRAND_f5f26a8c5d08a9e02c0c,Profilnine SD,profilnine sd
BRAND_0d4d6d12c1313a2c0085,Tresivac,tresivac
BRAND_e21a4d757e09a76963d8,Human Albumin 20% Behring (Low Salt),human albumin 20% behring (low salt)
BRAND_40fd09a6d5581660aaf6,SERO-TET,sero-tet
BRAND_5b211f04b760f012464d,ALBUMAX,albumax
BRAND_33df819827fcc87fa972,Albutein 25% Solution,albutein 25% solution
BRAND_876d23f20c457f12b02f,I.V. - GLOBULIN SN INJECTION,i.v. - globulin sn injection
BRAND_cbe29c06a23231832cdd,Zenalb 20,zenalb 20
BRAND_a2bac957bda29c88a939,Albutein,albutein
BRAND_3f4a8bd1b25a8a16c41c,Imovax Polio,imovax polio
BRAND_3c989704b8b5940ad65d,Hepliv,hepliv
BRAND_9ec34634946c7943c71d,Infanrix Hexa,infanrix hexa
BRAND_26b2791c412b66f22245,Avaxim 80,avaxim 80
BRAND_f423150344ff88df3f81,Chirorab,chirorab
BRAND_87566efac13519c08eb5,Vaxigrip Tetra,vaxigrip tetra
BRAND_a9314742c43774b63c5b,Pentaxim,pentaxim
BRAND_5c4f6c2a22be053c64d2,Antitet 1500 Iu,antitet 1500 iu
BRAND_b84b2124acd29cdd2f9c,Antitet 5000 Iu,antitet 5000 iu
BRAND_c7ed6d57cb93de7eb375,Antitet 3000 Iu,antitet 3000 iu
BRAND_43aa87f8cf917a06ff7b,Emoclot,emoclot
BRAND_3455c3d89f194041ef21,Aimafix,aimafix
BRAND_b96d34ebb07087dc253a,Dysport,dysport
BRAND_6a3f67728103330d3050,Kedrialb,kedrialb
BRAND_26a4eec1c3f0c7df9516,Alphanate,alphanate
BRAND_7b4161b89ac6d846e3d5,GENVAC-B,genvac-b
BRAND_ae5e25142bb74733f023,Neocyte,neocyte
BRAND_e3b28d7c93538733fe26,Alphanine SD 500 IU,alphanine sd 500 iu
BRAND_89731d741f8e35f6fd92,Tetagam P,tetagam p
BRAND_16ee4fb02f4d218aef57,Gardasil,gardasil
BRAND_333b30f3984d7ce629bc,Adacel,adacel
BRAND_88d8134ea28ce18af6be,Rotateq,rotateq
BRAND_67826a6a0b62ae2ce80a,Cervarix,cervarix
BRAND_986ddb07f21dfa7d0d51,IMATET,imatet
BRAND_3966b0cee369c4e72dbe,Thymogam,thymogam
BRAND_c26c3195202aa4e9a3f1,Abhayrab,abhayrab
BRAND_77481e220c6762debaad,Epotin,epotin
BRAND_71a099930c25ede400c8,Gamma I.V.,gamma i.v.
BRAND_a96e1bef012f5313239d,Epokine,epokine
BRAND_be81ee3194afa3935977,Mircera,mircera
BRAND_1da4443da722c97b3f41,Epogen,epogen
BRAND_960819472342f30fc07c,Ig Vena,ig vena
BRAND_3f48bd0139079c485cb1,Priorix-Tetra,priorix-tetra
BRAND_13e02a0ff43fdda002a3,Indirab,indirab
BRAND_f6581af4cc7effdd6eef,Infanrix-IPV+Hib,infanrix-ipv+hib
BRAND_07b3272c60d461fd8f5b,Bio-TT,bio-tt
BRAND_06af17adb1646ee16979,OraVacs,oravacs
BRAND_c986396377f3ee1c1dd4,Speeda,speeda
BRAND_fc04dd77fcd30900ba30,Amvax-B,amvax-b
BRAND_48c6029ba3e94e59c2f8,Tpiao,tpiao
BRAND_1a59edb7e3dcc359642c,Equirab,equirab
BRAND_16ac147133bb31da6054,Recombicyte,recombicyte
BRAND_b3a26913b4234cd68116,Eprex,eprex
BRAND_00125866fe798f2feaac,Efotin,efotin
BRAND_b740abc8db6e41096613,Cerezyme,cerezyme
BRAND_5bcf14929e51e41a1a0b,Revac B+,revac b+
BRAND_6f19973399de7b787321,Pneumovax 23,pneumovax 23
BRAND_1663004c595af86c75bc,Gamunex-C,gamunex-c
BRAND_0dc37b66abaa08328131,Hemapo,hemapo
BRAND_b9cd1fc7103db25f21b3,SII TD-VAC,sii td-vac
BRAND_f9a8fcc9c39b49855e37,Avastin,avastin
BRAND_e3f9ea9c610be5654937,Genheal,genheal
BRAND_61a7500b1f5e0e7de3eb,Engerix B,engerix b
BRAND_0e790e36a8fa7359f417,Engerix B Junior,engerix b junior
BRAND_e2e0633bdd4dde808d78,Albiomin,albiomin
BRAND_efe1342e15792b5dd452,Menactra,menactra
BRAND_38e6edc8169fbe8defe3,Eposino,eposino
BRAND_335e80a5430f8514be3a,Plasbumin - 25,plasbumin - 25
BRAND_c164d4f8997c354eeb29,WHITE-C,white-c
BRAND_d9d975d44adf9a97bec5,HyperHEP B S/D,hyperhep b s/d
BRAND_72351ae151b590d04b54,Clexane,clexane
BRAND_96f6d6f98e53d72f7d0d,Ig Tetano,ig tetano
BRAND_b0d78c8e6b84e373f72b,Sharjvax,sharjvax
BRAND_ea15ef8e6d081c21d63f,Luveris,luveris
BRAND_aa487cda417edb4377f1,Easyfive TT,easyfive tt
BRAND_e1a81b936fd5df7244e7,Typbar,typbar
BRAND_1c8f70432c687ad3b345,Prolia,prolia
BRAND_5c242bb60ea688eaf1ab,SII MR VAC,sii mr vac
BRAND_333b0659728a55025582,Betaferon,betaferon
BRAND_7000f0900bde203085e5,SII-Onco-BCG,sii-onco-bcg
BRAND_46727a41595d5b73e4ff,Xgeva,xgeva
BRAND_ec20b798bcdbe6c605a7,Eposis,eposis
BRAND_f291f03694ee1637ccf3,Berirab P,berirab p
BRAND_c43257bf8e9da7646b25,Scilocyte,scilocyte
BRAND_c93c71c29ddab8cc6cb9,Humoglob,humoglob
BRAND_d9af2dbf2b2b1534888d,Shanchol,shanchol
BRAND_5ec11c82d546fd140f6b,M-M-R II,m-m-r ii
BRAND_624357fe4260ae56ab1b,Saizen,saizen
BRAND_48b9491876f600f00f25,Easyef,easyef
BRAND_7e7f13e25e371616e4cb,Myozyme,myozyme
BRAND_68c3b9590707e4a5ec15,Influvac,influvac
BRAND_fb365cc6eba18fa9b447,Enoclex,enoclex
BRAND_ecd7debd95dd2c4e9375,Eylea,eylea
BRAND_ebd34825e0c9c3456c1c,Ovidrel,ovidrel
BRAND_c68ab1d2251b33536e6b,HugelTox,hugeltox
BRAND_4e222f5656f9f5273e2d,Hexaxim,hexaxim
BRAND_b7be42406ef6bec3746a,H-Ryg,h-ryg
BRAND_5703b6ac73c3d8e5a315,H-Tyg,h-tyg
BRAND_f4f2c548581c648a7a01,Imojev,imojev
BRAND_e138ef2193f532e94d25,Nimenrix,nimenrix
BRAND_9408d19fa8c7df5b74a8,Perjeta,perjeta
BRAND_62ace408288947b36c22,Epovax,epovax
BRAND_f1f30c3c1d6510ca3011,Renogen,renogen
BRAND_7e1cdbade9d4509db216,Plasbutein,plasbutein
BRAND_765ae0cc27b1843b4ba2,Repoitin 4000,repoitin 4000
BRAND_9d5d5dcd15aacbe5a077,Humulin N Kwikpen,humulin n kwikpen
BRAND_2c1a20b7db0eeaaa224f,Humulin 70/30 Kwikpen,humulin 70/30 kwikpen
BRAND_7ab0ee05cc0abf3f41f9,Kadcyla,kadcyla
BRAND_e876ddd26ea12d8de466,Varivax,varivax
BRAND_a5d2a280f460f4225413,Humalog Mix25 Kwikpen,humalog mix25 kwikpen
BRAND_15dcfbc082d9d236aaa3,Pegstim,pegstim
BRAND_8625482e0ce38e17335d,Espogen,espogen
BRAND_d50df1195a45ca6d554f,PUBERGEN,pubergen
BRAND_fa5adb0f2449212f620e,Humulin 70/30,humulin 70/30
BRAND_f2400a0af16cc5d90211,Gynogen HP,gynogen hp
BRAND_3f33430091ec926436df,Xolair,xolair
BRAND_7154030b9914037d1b81,Humalog Mix50 Kwikpen,humalog mix50 kwikpen
BRAND_86507b382d0e53c20843,Endogen HP,endogen hp
BRAND_563e8c06ba294bdbf70e,Insulyf-R (Regular),insulyf-r (regular)
BRAND_41e29efbaf2e918ef838,Insulyf-N (Nph),insulyf-n (nph)
BRAND_3f980294b2b5e2d67a6e,Insulyf-30/70 (Biphasic),insulyf-30/70 (biphasic)
BRAND_910ea6c7941c96c3dfef,Dermovate,dermovate
BRAND_9a1d2de99bfb7eaf4f1b,Pred Forte,pred forte
BRAND_d68eac8a0a6bebf569dc,Lasix,lasix
BRAND_9a46150ca682ee257e21,FUCIDIN,fucidin
BRAND_13c5dbc46db44e9f9106,Synalar,synalar
BRAND_f907c6dda0098d6b7b15,Biogesic,biogesic
BRAND_952791c7934bac602e91,ILOSONE,ilosone
BRAND_9c2afe780a03b38f4d7e,ALAXAN,alaxan
BRAND_a942f707c4d6392c5349,Aspilets,aspilets
BRAND_33495e12e238a19e3097,Antamin,antamin
BRAND_97c830dda02db5618b52,Glutaphos,glutaphos
BRAND_0351c3c1d02f18db849c,Synalar 10,synalar 10
BRAND_d2595f7de54773818b17,F-Zolidone,f-zolidone
BRAND_7062230ea47740f9f083,Primolut N,primolut n
BRAND_c2df28f64043c3be303b,Lanoxin,lanoxin
BRAND_6be80366b9ae59a7eb0a,Zyloprim,zyloprim
BRAND_210da4ffebd2103ba4c5,One-Six-Twelve,one-six-twelve
BRAND_df64e9c746e407b60206,Multisol-R in D5 Water,multisol-r in d5 water
BRAND_9750e5b0fee197807208,Coumadin,coumadin
BRAND_0b40c2996a20119df8bc,Betnovate,betnovate
BRAND_2ed010869c501cb9b54a,Buscopan,buscopan
BRAND_5a6a5fe42e2d73bab67e,Tempra,tempra
BRAND_9ee50604bc3fab63f9e8,Tapazole,tapazole
BRAND_303d61ac654374d58b1b,Benadryl,benadryl
BRAND_b8728c92e67280018cca,Benadryl AH,benadryl ah
BRAND_7f806b79ad68ba1f918f,Hemostan,hemostan
BRAND_2d836e4f3b9e325b7284,Albothyl,albothyl
BRAND_d76a6fbe80bf802f63c5,Cherryl Expectorant,cherryl expectorant
BRAND_b71a3c234e0688f8cd2b,Isox,isox
BRAND_04afc7fe833496cdbd78,Nafarin-A,nafarin-a
BRAND_1a635556779ea3ed408a,Hyper BH3,hyper bh3
BRAND_174730a48dc9355d7f75,Isopavit Liquid,isopavit liquid
BRAND_8b7c5d8d50d8d0a1b366,Valium,valium
BRAND_ff1296c60fe1a56de413,Decolsin,decolsin
BRAND_cc8f0a18bb852d905b62,Neomercazole,neomercazole
BRAND_33c5e8d99a41d576f9f2,Decilone Forte,decilone forte
BRAND_c0ee34ac37a07526deeb,Drenex,drenex
BRAND_89979d49eb01085f7f77,Mestinon,mestinon
BRAND_22c18e7dca9c24848752,Trimycin,trimycin
BRAND_d4590c6ee4f0f0e0ed9e,Neo-Synalar 10,neo-synalar 10
BRAND_0e5a0950717a64a4601d,Multisol-M in D5 Water,multisol-m in d5 water
BRAND_260c89a2f737fefea946,Enervon C,enervon c
BRAND_8b5fa8393a71373c6b03,Duvadilan,duvadilan
BRAND_a17db76a26b3d9244348,Synalar HP,synalar hp
BRAND_13e3afd250fa7b46621f,Llanol,llanol
BRAND_e480e4835a8e6ea7f1b5,Combantrin,combantrin
BRAND_e6fc6dacc3b33b371260,Micropil,micropil
BRAND_d2683d8fc362ea66c89d,Duspatalin,duspatalin
BRAND_d845404120ed19840549,Synalar 25,synalar 25
BRAND_a13996ea38264fd1c3bf,Robitussin Dm,robitussin dm
BRAND_9e7937802f570b0c7143,Neotic,neotic
BRAND_8e584fce8018001afcc1,Fortifer-Fa,fortifer-fa
BRAND_9009ebbbc5cfe927df36,Bunplex-C,bunplex-c
BRAND_a989e85e4d1ebace9f54,United Home Burn,united home burn
BRAND_e98650646db07f5a5744,United Home Glydolax,united home glydolax
BRAND_03e6c3497a12673696d8,Lidex,lidex
BRAND_93417d1b2ea462cc626a,Canesten,canesten
