formulation_id,generic_name_display,generic_name_normalized,ingredient_count,component_split_method
FORM_fb8a7ddd9f02241633e7,Fluoxetine ( as Hydrochloride ),fluoxetine ( as hydrochloride ),1,single
FORM_7c2c93dea05edb5ba6e2,SALBUTAMON,salbutamon,1,single
FORM_67aa6d1a5be9d13b5d72,Oxacillin Sodium,oxacillin sodium,1,single
FORM_bc190ef8c3b8982c5f16,Cefixime (Anhydrous),cefixime (anhydrous),1,single
FORM_406c4f9ea5c3f006ade1,Pantovex,pantovex,1,single
FORM_c16aa5fbb5c8f5f69092,Guaifenesin + Bromhexine HCl + Salbutamol (as sulfate),guaifenesin + bromhexine hcl + salbutamol (as sulfate),3,explicit_plus
FORM_c9d1d8b42005cbf6c9fc,Betamethasone (dipropionate) / Gentamicin (as sulfate),betamethasone (dipropionate) / gentamicin (as sulfate),2,explicit_slash
FORM_9c4478dd582bcea82657,Betamethasone / Gentamicin,betamethasone / gentamicin,2,explicit_slash
FORM_d7f4a8f31b448047325e,Dextromethorphan Hydrobromide + Guaifenesin + Phenylephrine Hydrochloride (Strawberry Flavor),dextromethorphan hydrobromide + guaifenesin + phenylephrine hydrochloride (strawberry flavor),3,explicit_plus
FORM_864a707023b413180fe6,Guaifenesin + Salbuttamol (As Sulfate),guaifenesin + salbuttamol (as sulfate),2,explicit_plus
FORM_d65cbd1008a5d13c2e38,Clonidine,clonidine,1,single
FORM_c0d5968c8d806677fe2c,Ketorolac Tromethamine (As Tromethamol),ketorolac tromethamine (as tromethamol),1,single
FORM_851b027707c4c52ed709,Losartan Potassium + Amlodipine ( as Besilate ),losartan potassium + amlodipine ( as besilate ),2,explicit_plus
FORM_bdb59591a609f40446df,Cinnarazine,cinnarazine,1,single
FORM_1af26674b641a2fc771a,Ubidecarenone (Coenzyme Q10),ubidecarenone (coenzyme q10),1,single
FORM_e0efb91e67f1bcc1ab1e,Pantoprazole Sodium + Domperidone,pantoprazole sodium + domperidone,2,explicit_plus
FORM_2888ca30c2f3cb5eac40,Chloramphenicol (As Palmimate),chloramphenicol (as palmimate),1,single
