formulation_id,ingredient_id,ingredient_position,ingredient_name_as_published,split_method,review_status
FORM_67ae2a6a5a75bbf3ab63,ING_67ae2a6a5a75bbf3ab63,1,Menotrophin,single,rule_extracted
FORM_85bf04378e5d30149f81,ING_85bf04378e5d30149f81,1,Tocilizumab,single,rule_extracted
FORM_2e49eb3c34f7fa6a3d57,ING_2e49eb3c34f7fa6a3d57,1,Rituximab,single,rule_extracted
FORM_27a705e9615c7d62eff4,ING_27a705e9615c7d62eff4,1,Obinutuzumab,single,rule_extracted
FORM_5bc802e7072a9c896062,ING_5bc802e7072a9c896062,1,"Quadrivalent Seasonal Influenza Vaccine (Split Virion, Inactivated) Southern Hemisphere 2026 Strain",single,rule_extracted
FORM_6f35fdc59588578c7821,ING_6f35fdc59588578c7821,1,Secukinumab,single,rule_extracted
FORM_ab78c9c9062d0c72d47d,ING_ab78c9c9062d0c72d47d,1,"Pneumococcal Conjugate Vaccine, 13-Valent (adsorbed) (See formulation)",single,rule_extracted
FORM_d7ef43788c86f9e7570f,ING_d7ef43788c86f9e7570f,1,Chorionic Gonadotropin,single,rule_extracted
FORM_8446a83051742edd2cea,ING_8446a83051742edd2cea,1,Bevacizumab,single,rule_extracted
FORM_d8acadde7de96cefc681,ING_d8acadde7de96cefc681,1,Pembrolizumab,single,rule_extracted
FORM_a6752a787841a88b1d41,ING_a6752a787841a88b1d41,1,Siltuximab,single,rule_extracted
FORM_ca10c1396d07fa152ed0,ING_ca10c1396d07fa152ed0,1,Insulin glargine,single,rule_extracted
FORM_5b975f945aec7be66998,ING_5b975f945aec7be66998,1,Human Albumin,single,rule_extracted
FORM_3f352ac219d065882a86,ING_3f352ac219d065882a86,1,"Human Papillomavirus 9-Valent Vaccine (Recombinant, Adsorbed)",single,rule_extracted
FORM_629780d1428421f9d47d,ING_4b613bae5a321af86c16,1,Insulin Degludec,explicit_plus,rule_extracted
FORM_629780d1428421f9d47d,ING_8cfafcd363f31197a761,2,Insulin Aspart,explicit_plus,rule_extracted
FORM_ded13224d41937e37aa4,ING_95af3409b5827bcd23ea,1,Lactobacillus gasseri,explicit_plus,rule_extracted
FORM_ded13224d41937e37aa4,ING_3d54c805b60d3a3386fc,2,Lactobacillus rhamnosus,explicit_plus,rule_extracted
FORM_5f4134a5cb1d4ff6c7e7,ING_e2e05a7b9535ae6b6fbe,1,Follitropin Alfa,explicit_slash,needs_review
FORM_5f4134a5cb1d4ff6c7e7,ING_269b57c16e41f833839b,2,Lutropin Alfa,explicit_slash,needs_review
FORM_6162b87aa356ab196a93,ING_6162b87aa356ab196a93,1,Human Coagulation Factor VIII,single,rule_extracted
FORM_c01a8b81a86fde976d94,ING_c01a8b81a86fde976d94,1,Affinity-Purified Antibodies To Human Interferon Gamma,single,rule_extracted
FORM_f0107063476830bea463,ING_f0107063476830bea463,1,Clostridium Botulinum Type A Neurotoxin complex,single,rule_extracted
FORM_1295eff27434d8cfb28a,ING_1295eff27434d8cfb28a,1,Vedolizumab,single,rule_extracted
FORM_e00f706e328b882d99b8,ING_e00f706e328b882d99b8,1,Idarucizumab,single,rule_extracted
FORM_b4e296bf237a73f8b21f,ING_b4e296bf237a73f8b21f,1,Peginterferon alfa-2a,single,rule_extracted
FORM_b5c94b0468ed4b7374b0,ING_b5c94b0468ed4b7374b0,1,RECOMBINANT HUMAN ERYTHROPOIETIN,single,rule_extracted
FORM_bc88785853f983da0f74,ING_bc88785853f983da0f74,1,Isophane Insulin Human,single,rule_extracted
FORM_a8f2d9740283828dc362,ING_a8f2d9740283828dc362,1,Insulin Human (Regular),single,rule_extracted
FORM_ee7c11e1a83e913350b3,ING_ee7c11e1a83e913350b3,1,Biphasic Insulin,single,rule_extracted
FORM_85801f64e8d69a442638,ING_85801f64e8d69a442638,1,Adalimumab,single,rule_extracted
FORM_f08268964fa6d91c124c,ING_f08268964fa6d91c124c,1,Pegfilgrastim,single,rule_extracted
FORM_b7341ddb0c29d608bc5a,ING_4b613bae5a321af86c16,1,Insulin Degludec,explicit_plus,rule_extracted
FORM_b7341ddb0c29d608bc5a,ING_f24132a6414bb496c999,2,Liraglutide,explicit_plus,rule_extracted
FORM_ede8faa3dd0cdcefd44a,ING_ede8faa3dd0cdcefd44a,1,Botulinum Toxin Type A (from Clostridium botulinum),single,rule_extracted
FORM_1776b0c15f124f090ece,ING_1776b0c15f124f090ece,1,Botulinum Toxin* Type A (*from Clostridium botulinum),single,rule_extracted
FORM_4638f7070a68ad49e31a,ING_4638f7070a68ad49e31a,1,"Regular Insulin Human, Recombinant DNA",single,rule_extracted
FORM_8575788855cb0a689b64,ING_0c65d4453cc986f0d748,1,Neutral Insulin Human,explicit_plus,rule_extracted
FORM_8575788855cb0a689b64,ING_76921db61bc1f67cc195,2,"Isophane Insulin Human, Recombinant DNA",explicit_plus,rule_extracted
FORM_be1260438b532b02dfde,ING_be1260438b532b02dfde,1,Human Normal Immunoglobulin,single,rule_extracted
FORM_9d33f20df62ff7604ec3,ING_9d33f20df62ff7604ec3,1,Nimotuzumab,single,rule_extracted
FORM_4763e40831242b99ba16,ING_4763e40831242b99ba16,1,Chorionic Gonadotrophin,single,rule_extracted
FORM_38bb1a85a94aa4a895c9,ING_38bb1a85a94aa4a895c9,1,Urofollitropin,single,rule_extracted
FORM_edc5078885eddec42977,ING_edc5078885eddec42977,1,"Diphtheria, Tetanus, Pertussis, Hepatitis B Recombinant and Haemophilus influenza B Tyoe (Hib) Vaccine",single,rule_extracted
FORM_950d507b51437ef2f3f1,ING_ca10c1396d07fa152ed0,1,Insulin Glargine,explicit_slash,needs_review
FORM_950d507b51437ef2f3f1,ING_f479fdcd0679d0655c77,2,Lixisenatide,explicit_slash,needs_review
FORM_d6e950375c9d56e0aca7,ING_d6e950375c9d56e0aca7,1,Etanercept,single,rule_extracted
FORM_5dd1e8658b620a4f2f0e,ING_5dd1e8658b620a4f2f0e,1,Atezolizumab,single,rule_extracted
FORM_ec43fe532385ae892316,ING_ec43fe532385ae892316,1,"Quadrivalent Seasonal Influenza Vaccine (Surface Antigen, Inactivated) 2026 Southern Hemisphere Strain",single,rule_extracted
FORM_1ac7a62ec4b4b9e87da4,ING_1ac7a62ec4b4b9e87da4,1,Eptacog alfa activated,single,rule_extracted
FORM_a78b7952a487e1659c50,ING_a78b7952a487e1659c50,1,Isophane Insulin (Recombinant DNA),single,rule_extracted
FORM_db15c76a4f1231c14f81,ING_db15c76a4f1231c14f81,1,"Rotavirus Vaccine (Live, Attenuated)",single,rule_extracted
FORM_1afd049d6e04ab46efe0,ING_1afd049d6e04ab46efe0,1,"Inactivated Poliomyelitis Vaccine (Types 1, 2 And 3)",single,rule_extracted
FORM_87a9ce23c22ef95e7380,ING_87a9ce23c22ef95e7380,1,Hepatitis A (Inactivated) Vaccine (Adsorbed),single,rule_extracted
FORM_3cbd3cc1f3cbe5196fd6,ING_3cbd3cc1f3cbe5196fd6,1,"Varicella Vaccine (Live, Attenuated)",single,rule_extracted
FORM_f6e5510f3605db002c89,ING_f6e5510f3605db002c89,1,"Pneumococcal Conjugate Vaccine, 13-Valent (adsorbed) [See formulation]",single,rule_extracted
FORM_1323c2e898cdf33b7a55,ING_1323c2e898cdf33b7a55,1,Pneumococcal Polysaccharide Conjugate Vaccine (Adsorbed),single,rule_extracted
FORM_6263c8c744d8926eefdb,ING_6263c8c744d8926eefdb,1,Semaglutide,single,rule_extracted
FORM_bfe372731f5ab745b7cf,ING_bfe372731f5ab745b7cf,1,Pneumococcal Polysaccharide Conjugate Vaccine (Adsorbed) (10-valent),single,rule_extracted
FORM_df9dc2fd7bb8ff0e561a,ING_df9dc2fd7bb8ff0e561a,1,Pneumococcal Polysaccharide Conjugate Vaccine. (Adsorbed) (10-valent),single,rule_extracted
FORM_f773f0da629069737d94,ING_f773f0da629069737d94,1,Human Blood Coagulation Factor VIII,single,rule_extracted
FORM_1d56c25b37cca83cf09b,ING_1d56c25b37cca83cf09b,1,Bacillus Calmette-Guérin (BCG) Vaccine,single,rule_extracted
FORM_a8c0108ba96a95a52c2c,ING_a8c0108ba96a95a52c2c,1,Durvalumab,single,rule_extracted
FORM_d45b72bc1c2fb1f758da,ING_d45b72bc1c2fb1f758da,1,Tetanus Toxoid (Adsorbed),single,rule_extracted
FORM_c8f73ea7014f1d491a77,ING_c8f73ea7014f1d491a77,1,Human Immunoglobulin,single,rule_extracted
FORM_4dae8f53b71c86608a1c,ING_4dae8f53b71c86608a1c,1,Calfactant,single,rule_extracted
FORM_1f51680461abfc0a17f3,ING_1f51680461abfc0a17f3,1,Moroctocog Alfa,single,rule_extracted
FORM_be386c1844c6e1d6734d,ING_be386c1844c6e1d6734d,1,"Cholera Vaccine (Inactivated, Oral)",single,rule_extracted
FORM_d302fad6e5c7b3442319,ING_d302fad6e5c7b3442319,1,"Meningococcal Group A, C, W-135 and Y Conjugate Vaccine",single,rule_extracted
FORM_4b613bae5a321af86c16,ING_4b613bae5a321af86c16,1,Insulin Degludec,single,rule_extracted
FORM_927b8c7aaca884d8884c,ING_927b8c7aaca884d8884c,1,Rabies Vaccine (Inactivated),single,rule_extracted
FORM_9b805b0852149ec21efd,ING_ae6d01b9cee45f4106e5,1,Human Fibrinogen,explicit_plus,rule_extracted
FORM_9b805b0852149ec21efd,ING_761990ad30253f21a676,2,Human Thrombin,explicit_plus,rule_extracted
FORM_4c48b23f6f0b0f27e72d,ING_4c48b23f6f0b0f27e72d,1,Polatuzumab vedotin,single,rule_extracted
FORM_0d39fafa53c44cdf8420,ING_0d39fafa53c44cdf8420,1,Brolucizumab,single,rule_extracted
FORM_f1f0d4427f04713d9a06,ING_fc1d976b9cd3064a4cb8,1,Pertuzumab,explicit_plus,rule_extracted
FORM_f1f0d4427f04713d9a06,ING_672bb991dce99ef875d2,2,Trastuzumab,explicit_plus,rule_extracted
FORM_45d9f97e5499a1b07888,ING_45d9f97e5499a1b07888,1,Epoetin Alfa,single,rule_extracted
FORM_f0a671ae95f6a36ff068,ING_f0a671ae95f6a36ff068,1,Hepatitis B Vaccine (rDNA),single,rule_extracted
FORM_eba88e1f89a66cc343a3,ING_eba88e1f89a66cc343a3,1,Ustekinumab,single,rule_extracted
FORM_d2f5420f093072f6bea6,ING_d2f5420f093072f6bea6,1,Ofatumumab,single,rule_extracted
FORM_35f4ee2b7210bd54217a,ING_35f4ee2b7210bd54217a,1,Tildrakizumab,single,rule_extracted
FORM_4d1698a1c6a777e334c4,ING_4d1698a1c6a777e334c4,1,"Inactivated Poliomyelitis Vaccine (Types 1, 2, and 3)",single,rule_extracted
FORM_016cf6e08e1c50f85d0c,ING_016cf6e08e1c50f85d0c,1,"Diphtheria, Tetanus, Pertussis (Whole Cell), Hepatitis B (IDNA) and Haemophilus influenzae Type B Conjugate Vaccine (Adsorbed)",single,rule_extracted
FORM_5782e9135c314a4592bd,ING_5782e9135c314a4592bd,1,Daratumumab,single,rule_extracted
FORM_cbfe5ca5f6af0ab7c7b1,ING_cbfe5ca5f6af0ab7c7b1,1,"Pneumococcal Polysaccharide Conjugate Vaccine, 15 Valent (Adsorbed)",single,rule_extracted
FORM_eda03f314d6fdd6ee67a,ING_eda03f314d6fdd6ee67a,1,Nonacog Alfa,single,rule_extracted
FORM_a8461ece3e1204779a02,ING_a8461ece3e1204779a02,1,Faricimab,single,rule_extracted
FORM_141f813312ec98c35594,ING_141f813312ec98c35594,1,Bacillus Clausii,single,rule_extracted
FORM_fad1128410500c82a2af,ING_fad1128410500c82a2af,1,"Rotavirus Vaccine, (Live Attenuated)",single,rule_extracted
FORM_08f6988b39bbd733db3e,ING_34b6576e4597dee1026e,1,Casirivimab,explicit_plus,rule_extracted
FORM_08f6988b39bbd733db3e,ING_cfda6749cb6f29a2ad63,2,Imdevimab,explicit_plus,rule_extracted
FORM_7bfa5f7b3b623fad02ef,ING_7bfa5f7b3b623fad02ef,1,Candesartan,single,rule_extracted
FORM_3efdc8103948c46e5c2c,ING_3efdc8103948c46e5c2c,1,Amivantamab,single,rule_extracted
FORM_b645d35a3760328180e4,ING_b645d35a3760328180e4,1,Bacterial Lysate,single,rule_extracted
FORM_cdbff679b720b21c2282,ING_cdbff679b720b21c2282,1,"Herpes Zoster Vaccine (recombinant, adjuvanted)",single,rule_extracted
FORM_951fef058251f25719ff,ING_951fef058251f25719ff,1,"Oral Poliomyelitis Vaccine (Types 1 and 3)[ Live, Attenuated]",single,rule_extracted
FORM_fc844bbcb45ae853f50b,ING_fc844bbcb45ae853f50b,1,Factor VIII Inhibitor Bypassing Activity,single,rule_extracted
FORM_de3e40d63c9d0a70f688,ING_de3e40d63c9d0a70f688,1,Powder for Solution for Infusion (IV),single,rule_extracted
FORM_b9c3ed9bdf9218eea543,ING_b9c3ed9bdf9218eea543,1,Human Placental Extract,single,rule_extracted
FORM_0759965530a7844f6772,ING_0759965530a7844f6772,1,"Pneumococcal Polysaccharide Conjugate Vaccine, 13- Valent (Adsorbed)",single,rule_extracted
FORM_74a715f2b9ebada44781,ING_74a715f2b9ebada44781,1,"Pneumococcal Polysaccharide Vaccine, 23-Valent",single,rule_extracted
FORM_a1746cbde1aff5458c3f,ING_a1746cbde1aff5458c3f,1,Clostridium botulinum Toxin Type A,single,rule_extracted
FORM_addf95b94def162879a6,ING_addf95b94def162879a6,1,"Respiratory Syncytial Virus Vaccine (Recombinant, Adjuvanted)",single,rule_extracted
FORM_b96a065b39824b28d873,ING_b96a065b39824b28d873,1,Tremelimumab,single,rule_extracted
FORM_e9d4e6c5487688369e71,ING_e9d4e6c5487688369e71,1,Ocrelizumab,single,rule_extracted
FORM_28bf31b6d2b0d94a4ed1,ING_28bf31b6d2b0d94a4ed1,1,Trastuzumab deruxtecan,single,rule_extracted
FORM_c7c615c1b66b98fd949a,ING_c7c615c1b66b98fd949a,1,"Japanese Encephalitis Vaccine (Inactivated, Adsorbed)",single,rule_extracted
FORM_1cfda786b85453795ef5,ING_1cfda786b85453795ef5,1,Anifrolumab,single,rule_extracted
FORM_b59aea15d33d6802bc50,ING_b59aea15d33d6802bc50,1,Avelumab,single,rule_extracted
FORM_42509038c40606754ad2,ING_42509038c40606754ad2,1,Spesolimab,single,rule_extracted
FORM_bc80d9584ec686462dbb,ING_bc80d9584ec686462dbb,1,"Meningococcal group B Vaccine (rDNA, component, adsorbed)",single,rule_extracted
FORM_b0ad560806b11fc67816,ING_b0ad560806b11fc67816,1,Eptacog alfa (activated),single,rule_extracted
FORM_4b54b57a7f76442c9ef9,ING_4b54b57a7f76442c9ef9,1,Luspatercept,single,rule_extracted
FORM_4243f537a24471da9dfd,ING_4243f537a24471da9dfd,1,"Pneumococcal Conjugate Vaccine, 20-Valent (Adsorbed)",single,rule_extracted
FORM_3dc239cf1d0dbfd7f8c9,ING_3dc239cf1d0dbfd7f8c9,1,"Respiratory Syncytial Virus Vaccine (bivalent, recombinant)",single,rule_extracted
FORM_86e32ba420277c2d22cf,ING_86e32ba420277c2d22cf,1,Teriparatide,single,rule_extracted
FORM_f4e2231e5f1ef0191623,ING_f4e2231e5f1ef0191623,1,Ulinastatin,single,rule_extracted
FORM_f5f35355de662494e510,ING_f5f35355de662494e510,1,Rabies Vaccine (Vero Cell) [Inactivated],single,rule_extracted
FORM_0ee036ec0ea7420d0839,ING_0ee036ec0ea7420d0839,1,Tenecteplase,single,rule_extracted
FORM_77123dc9699c7b255da9,ING_77123dc9699c7b255da9,1,"Influenza Vaccine (Split Virion, Inactivated) [2026 Southern Hemisphere Strain]",single,rule_extracted
FORM_6a1c51592fdb755551c9,ING_6a1c51592fdb755551c9,1,Rabies Vaccine (Inactivated) (Wistar Strain Rabies),single,rule_extracted
FORM_6c03649d331ba77a9265,ING_6c03649d331ba77a9265,1,Typhoid Polysaccharide Vaccine,single,rule_extracted
FORM_79b953a8de4b6a9edd8d,ING_79b953a8de4b6a9edd8d,1,Hepatitis B Immunoglobulin (Human),single,rule_extracted
FORM_7aba46645c74576eaf12,ING_7aba46645c74576eaf12,1,Diphtheria-Tetanus Toxoids and Pertussis (DTP),single,rule_extracted
FORM_7c78f094aa573a3b09c6,ING_7c78f094aa573a3b09c6,1,Diphtheria-Tetanus Toxoid (DT) (Adsorbed),single,rule_extracted
FORM_03f7dc548d78fc11e7cb,ING_03f7dc548d78fc11e7cb,1,Hepabig,single,rule_extracted
FORM_99f3612d5b81ba8d2c85,ING_99f3612d5b81ba8d2c85,1,"Measles Vaccine (Live, Attenuated)",single,rule_extracted
FORM_30c8a1f1e5f0860effe1,ING_30c8a1f1e5f0860effe1,1,Hepatitis A (inactivated) and hepatitis B (rDNA) (HAB) Vaccine (adsorbed),single,rule_extracted
FORM_4863bc1ce5749c6d2212,ING_4863bc1ce5749c6d2212,1,Factor IX Complex,single,rule_extracted
FORM_5de4d4c2eb6c4fd58a33,ING_5de4d4c2eb6c4fd58a33,1,"Measles, Mumps and Rubella Vaccine (Live, Attenuated)",single,rule_extracted
FORM_7faba220e7b8d67eb2ca,ING_7faba220e7b8d67eb2ca,1,Tetanus Toxoid ( Adsorbed ),single,rule_extracted
FORM_4f0651123752a40edda9,ING_4f0651123752a40edda9,1,TETANUS IMMUNE GLOBULIN HUMAN,single,rule_extracted
FORM_464d0dfde2a91ac40926,ING_464d0dfde2a91ac40926,1,Live Attenuated Measles Vaccine,single,rule_extracted
FORM_ce55323e64e855860427,ING_ce55323e64e855860427,1,"Inactivated Poliomyelitis Vaccine (Type 1,2 And 3)",single,rule_extracted
FORM_f4f4ab655f5a37cbbe3f,ING_f4f4ab655f5a37cbbe3f,1,"Diphtheria, component), Tetanus and Pertussis (acellular Hepatitis B (rDNA), Poliomyelitis (inactivated) and Haemophilus influenzae Type B Conjugate Vaccine (adsorbed)",single,rule_extracted
FORM_99390aa391efc4000ef7,ING_99390aa391efc4000ef7,1,"Hepatitis A Vaccine (Inactivated, Adsorbed)",single,rule_extracted
FORM_801ff96a436c169aa66a,ING_801ff96a436c169aa66a,1,"Diphtheria, Tetanus, Pertussis (Acellular Component), And Poliomyelitis (Inactivated) Vaccine (Adsorbed)",single,rule_extracted
FORM_1050385fe2140f8e50e9,ING_1050385fe2140f8e50e9,1,"Diphtheria, Tetanus, Pertussis (Acellular Poliomyelitis (Inactivated) Vaccine and Haemophilus influenzae Type B Conjugate Vaccine (Adsorbed)",single,rule_extracted
FORM_8d93b87bd96a45387cfd,ING_8d93b87bd96a45387cfd,1,Tetanus Antitoxin Refined,single,rule_extracted
FORM_17f34958f2401ee0d269,ING_17f34958f2401ee0d269,1,Human Plasma Coagulation Factor VIII,single,rule_extracted
FORM_3151444e9c0a47fd4d9f,ING_3151444e9c0a47fd4d9f,1,Human Coagulation Factor IX,single,rule_extracted
FORM_9307492c88e6789c4254,ING_9307492c88e6789c4254,1,Botulinum Toxin Type A,single,rule_extracted
FORM_4181af658e0377ad8557,ING_4181af658e0377ad8557,1,Factor VIII Purified (Human),single,rule_extracted
FORM_88da34c786d2fe0ee1dd,ING_88da34c786d2fe0ee1dd,1,HEPATITIS B VACCINE ( rDNA ),single,rule_extracted
FORM_9b75afa72e0462981687,ING_9b75afa72e0462981687,1,Bacillus Calmette-Guerin (BCG) Vaccine,single,rule_extracted
FORM_640250711e0c2d4f8d22,ING_640250711e0c2d4f8d22,1,Tuberculin Purified Protein Derivative,single,rule_extracted
FORM_218f98395e71b3e8900a,ING_218f98395e71b3e8900a,1,Coagulation Factor IX (Human),single,rule_extracted
FORM_235b6ea98b1813d53515,ING_235b6ea98b1813d53515,1,Human Tetanus Immunoglobulin,single,rule_extracted
FORM_e8dfac9cd9b2b3e78f41,ING_e8dfac9cd9b2b3e78f41,1,"Human Papillomavirus Vaccine (Types 6, 11, 16 And 18) (Recombinant Adsorbed",single,rule_extracted
FORM_3032c6fde52bf1f320be,ING_3032c6fde52bf1f320be,1,"Human Papillomavrius Vaccine [Types 6, 11, 16, 18] (Recombinant, Adsorbed)",single,rule_extracted
FORM_a71564bec784437896f7,ING_a71564bec784437896f7,1,Tetanus and Diphtheria Toxoids Adsorbed combined with component Acellular Pertussis Vaccine,single,rule_extracted
FORM_2c02bffc3ea074e797d7,ING_2c02bffc3ea074e797d7,1,"Rotavirus Vaccine, Live",single,rule_extracted
FORM_dc8fd875e44a079188ad,ING_dc8fd875e44a079188ad,1,"Human Papillomavirus Vaccine [Types 16, 18] (Recombinant, Adjuvanted, Adsorbed)",single,rule_extracted
FORM_dce28a49a202412882ee,ING_dce28a49a202412882ee,1,Antithymocyte Immunoglobulin (ATG) (Equine),single,rule_extracted
FORM_326d4e6af07991471eb6,ING_326d4e6af07991471eb6,1,Purified Vero Cell Rabies Vaccine,single,rule_extracted
FORM_924f88f4668810b4c0f6,ING_924f88f4668810b4c0f6,1,Epoetin alfa (Recombinant Human Erythropoietin),single,rule_extracted
FORM_92505349b4c764bbc810,ING_92505349b4c764bbc810,1,Human Normal Immunoglobulin (IGIV),single,rule_extracted
FORM_a915becd54dd5e59f1c0,ING_a915becd54dd5e59f1c0,1,Methoxy Polyethylene Glycol-Epoetin Beta,single,rule_extracted
FORM_04564e24ba992eb463c3,ING_04564e24ba992eb463c3,1,"Measles, Mumps, Rubella and Varicella Vaccine (Live, Attenuated)",single,rule_extracted
FORM_9316df66f26747501f6e,ING_9316df66f26747501f6e,1,Inactivated Purified Rabies Vaccine (Vero-Cell),single,rule_extracted
FORM_ac9f0174da1c0dae6c5e,ING_ac9f0174da1c0dae6c5e,1,"Diphtheria, Tetanus, Acellular Pertussis, Inactivated Poliomyelitis and Haemophilus influenzae Type B Conjugate Vaccine, Adsorbed",single,rule_extracted
FORM_210462315d3a9a8eb276,ING_210462315d3a9a8eb276,1,Tetanus Toxoid,single,rule_extracted
FORM_bdd7f87619d4b378d769,ING_bdd7f87619d4b378d769,1,Purified Rabies Vaccine (Vero Cell),single,rule_extracted
FORM_3de3043f5f774bed98e8,ING_3de3043f5f774bed98e8,1,Recombinant Hepatitis B Vaccine,single,rule_extracted
FORM_eeec7b57cbffa792f32c,ING_eeec7b57cbffa792f32c,1,Recombinant Human Thrombopoietin,single,rule_extracted
FORM_14f87b4e90c4af95350f,ING_14f87b4e90c4af95350f,1,Live Attenuated Rotavirus Vaccine,single,rule_extracted
FORM_29a775e4e5c075ca7181,ING_29a775e4e5c075ca7181,1,Anti-Rabies Serum (Equine),single,rule_extracted
FORM_fbc86147b5c45d67712a,ING_fbc86147b5c45d67712a,1,HEPATITIS B VACCINE (RECOMBINANT DNA ),single,rule_extracted
FORM_3ac4c177fdaa861a7240,ING_3ac4c177fdaa861a7240,1,Recombinant Human Erythropoietin Alfa,single,rule_extracted
FORM_45172dacdc183f3d560e,ING_45172dacdc183f3d560e,1,Imiglucerase,single,rule_extracted
FORM_95642347ff5dff437fcd,ING_95642347ff5dff437fcd,1,"Pneumococcal Vaccine, Polyvalent",single,rule_extracted
FORM_ad0073f86563be2f9231,ING_ad0073f86563be2f9231,1,Human Normal Immunoglobulin (IVIg),single,rule_extracted
FORM_0a341b236959d93afac3,ING_0a341b236959d93afac3,1,Diphtheria and Tetanus Vaccine (Adsorbed),single,rule_extracted
FORM_0c36608ed807cffce6a7,ING_0c36608ed807cffce6a7,1,"Meningococcal (Groups A, Polysaccharide Diphtheria Toxoid Conjugate Vaccine",single,rule_extracted
FORM_cee6b2915542c057131d,ING_cee6b2915542c057131d,1,Albumin,single,rule_extracted
FORM_dae20e4e49f48688b901,ING_dae20e4e49f48688b901,1,"Human Papillomavirus Vaccine [Types 16 and 18] (Recombinant, adjuvanted, adsorbed)",single,rule_extracted
FORM_994a55d09d6026a8622d,ING_994a55d09d6026a8622d,1,Enoxaparin (as sodium),single,rule_extracted
FORM_31d7654b143571f54757,ING_31d7654b143571f54757,1,Tetanus Antitoxin (Equine),single,rule_extracted
FORM_269b57c16e41f833839b,ING_269b57c16e41f833839b,1,Lutropin Alfa,single,rule_extracted
FORM_ff094a0fa58d5902e5f7,ING_ff094a0fa58d5902e5f7,1,"Diphtheria, Tetanus, Pertussis (Whole-Cell), Recombinant Hepatitis B, Haemophilus Influenzae Type B Combined Vaccine",single,rule_extracted
FORM_618fa4dd4d7d477d7bd9,ING_618fa4dd4d7d477d7bd9,1,Denosumab,single,rule_extracted
FORM_461775b3c42085cc6353,ING_461775b3c42085cc6353,1,Measles and Rubella Vaccine (Live),single,rule_extracted
