ingredient_id,ingredient_name_display,ingredient_name_normalized
ING_cdbff679b720b21c2282,"Herpes Zoster Vaccine (recombinant, adjuvanted)","herpes zoster vaccine (recombinant, adjuvanted)"
ING_951fef058251f25719ff,"Oral Poliomyelitis Vaccine (Types 1 and 3)[ Live, Attenuated]","oral poliomyelitis vaccine (types 1 and 3)[ live, attenuated]"
ING_fc844bbcb45ae853f50b,Factor VIII Inhibitor Bypassing Activity,factor viii inhibitor bypassing activity
ING_de3e40d63c9d0a70f688,Powder for Solution for Infusion (IV),powder for solution for infusion (iv)
ING_b9c3ed9bdf9218eea543,Human Placental Extract,human placental extract
ING_0759965530a7844f6772,"Pneumococcal Polysaccharide Conjugate Vaccine, 13- Valent (Adsorbed)","pneumococcal polysaccharide conjugate vaccine, 13- valent (adsorbed)"
ING_74a715f2b9ebada44781,"Pneumococcal Polysaccharide Vaccine, 23-Valent","pneumococcal polysaccharide vaccine, 23-valent"
ING_a1746cbde1aff5458c3f,Clostridium botulinum Toxin Type A,clostridium botulinum toxin type a
ING_addf95b94def162879a6,"Respiratory Syncytial Virus Vaccine (Recombinant, Adjuvanted)","respiratory syncytial virus vaccine (recombinant, adjuvanted)"
ING_b96a065b39824b28d873,Tremelimumab,tremelimumab
ING_e9d4e6c5487688369e71,Ocrelizumab,ocrelizumab
ING_28bf31b6d2b0d94a4ed1,Trastuzumab deruxtecan,trastuzumab deruxtecan
ING_c7c615c1b66b98fd949a,"Japanese Encephalitis Vaccine (Inactivated, Adsorbed)","japanese encephalitis vaccine (inactivated, adsorbed)"
ING_1cfda786b85453795ef5,Anifrolumab,anifrolumab
ING_b59aea15d33d6802bc50,Avelumab,avelumab
ING_42509038c40606754ad2,Spesolimab,spesolimab
ING_bc80d9584ec686462dbb,"Meningococcal group B Vaccine (rDNA, component, adsorbed)","meningococcal group b vaccine (rdna, component, adsorbed)"
ING_b0ad560806b11fc67816,Eptacog alfa (activated),eptacog alfa (activated)
ING_4b54b57a7f76442c9ef9,Luspatercept,luspatercept
ING_4243f537a24471da9dfd,"Pneumococcal Conjugate Vaccine, 20-Valent (Adsorbed)","pneumococcal conjugate vaccine, 20-valent (adsorbed)"
ING_3dc239cf1d0dbfd7f8c9,"Respiratory Syncytial Virus Vaccine (bivalent, recombinant)","respiratory syncytial virus vaccine (bivalent, recombinant)"
ING_86e32ba420277c2d22cf,Teriparatide,teriparatide
ING_f4e2231e5f1ef0191623,Ulinastatin,ulinastatin
ING_f5f35355de662494e510,Rabies Vaccine (Vero Cell) [Inactivated],rabies vaccine (vero cell) [inactivated]
ING_0ee036ec0ea7420d0839,Tenecteplase,tenecteplase
ING_77123dc9699c7b255da9,"Influenza Vaccine (Split Virion, Inactivated) [2026 Southern Hemisphere Strain]","influenza vaccine (split virion, inactivated) [2026 southern hemisphere strain]"
ING_6a1c51592fdb755551c9,Rabies Vaccine (Inactivated) (Wistar Strain Rabies),rabies vaccine (inactivated) (wistar strain rabies)
ING_6c03649d331ba77a9265,Typhoid Polysaccharide Vaccine,typhoid polysaccharide vaccine
ING_79b953a8de4b6a9edd8d,Hepatitis B Immunoglobulin (Human),hepatitis b immunoglobulin (human)
ING_7aba46645c74576eaf12,Diphtheria-Tetanus Toxoids and Pertussis (DTP),diphtheria-tetanus toxoids and pertussis (dtp)
ING_7c78f094aa573a3b09c6,Diphtheria-Tetanus Toxoid (DT) (Adsorbed),diphtheria-tetanus toxoid (dt) (adsorbed)
ING_03f7dc548d78fc11e7cb,Hepabig,hepabig
ING_99f3612d5b81ba8d2c85,"Measles Vaccine (Live, Attenuated)","measles vaccine (live, attenuated)"
ING_30c8a1f1e5f0860effe1,Hepatitis A (inactivated) and hepatitis B (rDNA) (HAB) Vaccine (adsorbed),hepatitis a (inactivated) and hepatitis b (rdna) (hab) vaccine (adsorbed)
ING_4863bc1ce5749c6d2212,Factor IX Complex,factor ix complex
ING_5de4d4c2eb6c4fd58a33,"Measles, Mumps and Rubella Vaccine (Live, Attenuated)","measles, mumps and rubella vaccine (live, attenuated)"
ING_7faba220e7b8d67eb2ca,Tetanus Toxoid ( Adsorbed ),tetanus toxoid ( adsorbed )
ING_4f0651123752a40edda9,TETANUS IMMUNE GLOBULIN HUMAN,tetanus immune globulin human
ING_464d0dfde2a91ac40926,Live Attenuated Measles Vaccine,live attenuated measles vaccine
ING_ce55323e64e855860427,"Inactivated Poliomyelitis Vaccine (Type 1,2 And 3)","inactivated poliomyelitis vaccine (type 1,2 and 3)"
ING_f4f4ab655f5a37cbbe3f,"Diphtheria, component), Tetanus and Pertussis (acellular Hepatitis B (rDNA), Poliomyelitis (inactivated) and Haemophilus influenzae Type B Conjugate Vaccine (adsorbed)","diphtheria, component), tetanus and pertussis (acellular hepatitis b (rdna), poliomyelitis (inactivated) and haemophilus influenzae type b conjugate vaccine (adsorbed)"
ING_99390aa391efc4000ef7,"Hepatitis A Vaccine (Inactivated, Adsorbed)","hepatitis a vaccine (inactivated, adsorbed)"
ING_801ff96a436c169aa66a,"Diphtheria, Tetanus, Pertussis (Acellular Component), And Poliomyelitis (Inactivated) Vaccine (Adsorbed)","diphtheria, tetanus, pertussis (acellular component), and poliomyelitis (inactivated) vaccine (adsorbed)"
ING_1050385fe2140f8e50e9,"Diphtheria, Tetanus, Pertussis (Acellular Poliomyelitis (Inactivated) Vaccine and Haemophilus influenzae Type B Conjugate Vaccine (Adsorbed)","diphtheria, tetanus, pertussis (acellular poliomyelitis (inactivated) vaccine and haemophilus influenzae type b conjugate vaccine (adsorbed)"
ING_8d93b87bd96a45387cfd,Tetanus Antitoxin Refined,tetanus antitoxin refined
ING_17f34958f2401ee0d269,Human Plasma Coagulation Factor VIII,human plasma coagulation factor viii
ING_3151444e9c0a47fd4d9f,Human Coagulation Factor IX,human coagulation factor ix
ING_9307492c88e6789c4254,Botulinum Toxin Type A,botulinum toxin type a
ING_4181af658e0377ad8557,Factor VIII Purified (Human),factor viii purified (human)
ING_88da34c786d2fe0ee1dd,HEPATITIS B VACCINE ( rDNA ),hepatitis b vaccine ( rdna )
ING_9b75afa72e0462981687,Bacillus Calmette-Guerin (BCG) Vaccine,bacillus calmette-guerin (bcg) vaccine
ING_640250711e0c2d4f8d22,Tuberculin Purified Protein Derivative,tuberculin purified protein derivative
ING_218f98395e71b3e8900a,Coagulation Factor IX (Human),coagulation factor ix (human)
ING_235b6ea98b1813d53515,Human Tetanus Immunoglobulin,human tetanus immunoglobulin
ING_e8dfac9cd9b2b3e78f41,"Human Papillomavirus Vaccine (Types 6, 11, 16 And 18) (Recombinant Adsorbed","human papillomavirus vaccine (types 6, 11, 16 and 18) (recombinant adsorbed"
