ingredient_id,ingredient_name_display,ingredient_name_normalized
ING_77f95eb554405d5fe515,Doxorubicin (as Hydrochloride),doxorubicin (as hydrochloride)
ING_c0dd34b3b43a006e57ea,Hydrocortisone (as Acetate),hydrocortisone (as acetate)
ING_9b24d61e482d0f84c87a,Meclizne Hydrochloride,meclizne hydrochloride
ING_62a3b1c2b979806d369c,Ertapenem,ertapenem
ING_efad853d4ff821d253ed,Selexipag,selexipag
ING_c2b14ba569dabe4aa119,: Telmisartan,: telmisartan
ING_450491b20023d1c5c487,Multivitamin,multivitamin
ING_b829ae9af22e0e6eacff,Ascorbic Acid As Sodium Ascorbate,ascorbic acid as sodium ascorbate
ING_df5878eedaa9a3b2e67e,Mineral,mineral
ING_fb8349206163fc4744dc,Cetirizine,cetirizine
ING_d24de352bacf06fde7e3,Isosorbide Dinitrate,isosorbide dinitrate
ING_16571250c39492fa69d5,Ivabradine (as hydrochloride),ivabradine (as hydrochloride)
ING_851560b8a5d7e04a20ad,R-Thioctic Acid Tromethamine,r-thioctic acid tromethamine
ING_a582495b597ecfc7bfb9,Diclofenac,diclofenac
ING_15705741744fdb94328e,Teneligliptin (as hydrobromide hydrate,teneligliptin (as hydrobromide hydrate
ING_f031d213852b7e990d7a,Pioglitazone (Hydrochloride),pioglitazone (hydrochloride)
ING_169a368374cbf27da650,Ascorbic Aci,ascorbic aci
ING_32069713fd7401c81adc,Maxxi Nerve,maxxi nerve
ING_27f964be20bf93e96181,Dexmedetomidine (as hydrochloride) in 0.9% w,dexmedetomidine (as hydrochloride) in 0.9% w
ING_0291496bacff385f8604,v Sodium Chloride,v sodium chloride
ING_79ed06b5d9175a8605ad,Rhodiola rosea Root Paulinia cupana (Guarana) Seeds,rhodiola rosea root paulinia cupana (guarana) seeds
ING_83cb3e8303b40995e06c,Sitagliptin (as phosphate),sitagliptin (as phosphate)
ING_a02f1e209b6ba5710f01,Olaparib,olaparib
ING_bc88e3835578801a65b4,Phenylpropanolamine Hydrochloride Chlorpheniramine Maleate,phenylpropanolamine hydrochloride chlorpheniramine maleate
ING_4f93ec2413180b204e24,Moxifloxacin (Hydrochloride),moxifloxacin (hydrochloride)
ING_91bd164a769d75d6a3ce,Dimethylaminoethanol (Deanol),dimethylaminoethanol (deanol)
ING_f016adf96cac2153504d,Panax ginseng (Korean Panax Ginseng) Root Powder,panax ginseng (korean panax ginseng) root powder
ING_7a59051330bac427ec54,Sucroferric oxyhydroxide,sucroferric oxyhydroxide
ING_cf075bddd5ddcfde3ab6,Oral Rehydration Salts,oral rehydration salts
ING_e0a113170280b3d74bd3,Cilnidipine,cilnidipine
ING_5f9c172170d9f4264c41,Inosiplex,inosiplex
ING_9c9dbd91e74f0b99abd0,Calcium folinate (as Folinic acid),calcium folinate (as folinic acid)
ING_db96749cd0b94b5f814b,Esketamine (as hydrochloride),esketamine (as hydrochloride)
ING_bb77d210bcdc70028fbf,Povidone Iodine,povidone iodine
ING_48c1ce60b63521467411,Atomoxetine (as hydrochloride),atomoxetine (as hydrochloride)
ING_eb1a5ac35d7130250b99,Ipratropium bromide (as monohydrate),ipratropium bromide (as monohydrate)
ING_9df7dfd68014a0198395,Scutellaria baicalensis (Baikal skullcap) Root Extract,scutellaria baicalensis (baikal skullcap) root extract
ING_53193042236436080d98,Acacia catechu (Catechu) Heartwood Extract,acacia catechu (catechu) heartwood extract
ING_52ae08f57d0363407be3,Pramipexole dihydrochloride (as monohydrate),pramipexole dihydrochloride (as monohydrate)
ING_db46bc0915beaf6df0da,Vino De Quina,vino de quina
ING_bb1dc6dd724609ae12fd,Vitis vinifera L. (Grape) Seed,vitis vinifera l. (grape) seed
ING_414dbd0e9c1b3e2dd299,Cefriaxone (as sodium),cefriaxone (as sodium)
ING_f1b9685a8e83089f9501,Salbutamol(as sulfate),salbutamol(as sulfate)
ING_0fd2fa430ba3a85c7e5b,Per Kit contains: Sitagliptin (as phosphate monohydrate) 50 mg Film Coated Tablet,per kit contains: sitagliptin (as phosphate monohydrate) 50 mg film coated tablet
ING_198d9d6f86b3e3019848,Metformin hydrochloride 1 g Extended Release Tablet,metformin hydrochloride 1 g extended release tablet
ING_3901eb4be15bc0503257,Myroxylon balsamum var. pereirae (Royle) Harms (Balsam of Peru) Resin,myroxylon balsamum var. pereirae (royle) harms (balsam of peru) resin
ING_5f0194b3aac51d828952,Lenalidomide,lenalidomide
ING_cc8c3da03c4bdafed88e,Alpelisib,alpelisib
ING_86252ca2f713e6cba495,Fosphenytoin Sodium,fosphenytoin sodium
ING_6f3bc9d7317a28096c77,Lemborexant,lemborexant
ING_73fb881cc5b2c540e290,Glycyrrhiza glabra (Liquorice root),glycyrrhiza glabra (liquorice root)
ING_cdc4203c965a0cf7e19e,Zingiber officinale (Ginger rhizome),zingiber officinale (ginger rhizome)
ING_a571cfa74f9ffdf124af,Phyllanthus emblica (Indian gooseberry fruit),phyllanthus emblica (indian gooseberry fruit)
ING_7f54928a794f47df8cee,Haloperidol Decanoate,haloperidol decanoate
ING_f8eb4d451a4d3437ef23,Rosuvastatin (As Zinc),rosuvastatin (as zinc)
ING_b149e781fd9181fadeac,Sultamicillin tosilate,sultamicillin tosilate
ING_cc18af5c9dacf9760d4e,Colecalciferol (Vitamin D3),colecalciferol (vitamin d3)
ING_bf91bf63ff8d0f88bdae,Luseogliflozin (as hydrate),luseogliflozin (as hydrate)
ING_ff606dce53600d991224,Glycyrrhiza glabra (Liquorice) Root,glycyrrhiza glabra (liquorice) root
ING_472bba0ca2d664219e5a,Zingiber officinale (Ginger) Rhizome,zingiber officinale (ginger) rhizome
ING_02d47b05d04b62de2f9b,Phyllantus emblica (Indian Gooseberry) Fruit,phyllantus emblica (indian gooseberry) fruit
ING_a5bd0c5b39e4def96669,Pancreatin,pancreatin
ING_569319d3249b6c902403,Famciclovir,famciclovir
ING_68ba481123683019fca8,Biotin (Vitamin B7),biotin (vitamin b7)
ING_dcfa30557ffd0d7de85f,Omidenepag Isopropyl,omidenepag isopropyl
ING_e079e1776626349fafd8,Doripenem (as monohydrate),doripenem (as monohydrate)
ING_37c54df42fb846026fce,Zinc (as citrate dihydrate),zinc (as citrate dihydrate)
ING_1354cf61465d9562ebe5,Abemaciclib,abemaciclib
ING_7eb47015e493143064b1,Naltrexone Hydrochloride,naltrexone hydrochloride
ING_2edc071ba42dd4100a0c,Emergency Kit,emergency kit
ING_173021e91fa531bd62ba,Complete Wound Management Kit,complete wound management kit
ING_33a9e04fb096470d36dd,First Aid Kit,first aid kit
ING_db72098c3a0d83075761,Tirofiban (as hydrochloride monohydrate),tirofiban (as hydrochloride monohydrate)
ING_9023a3a01c8f92ddda0d,d-Alpha Tocopheryl Acetate (Vitamin E),d-alpha tocopheryl acetate (vitamin e)
ING_77509fbd5034d6dc1db2,Retinyl Acetate (Vitamin A),retinyl acetate (vitamin a)
ING_25b96f3fa754a86042aa,Rivastigmine,rivastigmine
ING_f688c5801be475fcb384,Ferrous Sulfate (as Heptahydrate),ferrous sulfate (as heptahydrate)
ING_42d3391a4a5c7fc4d08d,Retinyl Palmitate (Vitamin A),retinyl palmitate (vitamin a)
ING_bd8b3bc6fd1fa7fe126e,Chlormadinone acetate,chlormadinone acetate
ING_d45c12e936d9ccab62fa,Valporic Acid,valporic acid
ING_e1376e8699824827e910,Hemodialysis and Hemofiltration Solution,hemodialysis and hemofiltration solution
ING_6e77fd13d538060126f1,Testosterone,testosterone
ING_f1aab97447f08a7361f3,Colistimethate Sodium,colistimethate sodium
ING_666c7bce675da93ae8d5,Methylprednisolone Acetate,methylprednisolone acetate
ING_caecc5e44b044eadfa15,Dapagliflozin,dapagliflozin
ING_25091918cd965d7b4528,Erlotinib Hydrochloride,erlotinib hydrochloride
ING_ad9feeb4ff073b971415,Isavuconazonium Sulfate,isavuconazonium sulfate
ING_fca0801fbd2e3cdacf2d,Ivermectin,ivermectin
ING_dfc6d22dbb453728865e,Methylcobalamin (Vitamin B12),methylcobalamin (vitamin b12)
ING_073842286cdcad6ac4fd,Zolendronic Acid,zolendronic acid
ING_65c0af7216720e5f6827,Mupirocin (As Calcium Dihydrate),mupirocin (as calcium dihydrate)
ING_f2e208722726f9e5747b,Darifenacin (As Hydrobromide),darifenacin (as hydrobromide)
ING_99156f43335f09595869,Methylprednisolone Sodium Succinate,methylprednisolone sodium succinate
ING_dcd06b878688a573af50,Daclastavir (As dihydrochloride),daclastavir (as dihydrochloride)
ING_eaf79724d9099fd4672e,Daclastavir Dihydrochloride,daclastavir dihydrochloride
ING_6ce5855be0200f3cb28c,Acalabrutinib,acalabrutinib
ING_7c8489a895941c0cc1c3,Montelukast Sodium,montelukast sodium
ING_f95bb41b4dafb8c35ff7,Remdesivir,remdesivir
ING_50ba920b9e5f06c4670b,Gemcitabine(as hydrochloride),gemcitabine(as hydrochloride)
ING_7426b7ef290f9af402ef,Olmesartan Medoxomil),olmesartan medoxomil)
ING_e1d4553852c8f892eea0,Pemetrexed,pemetrexed
ING_10ddd1aba46acb0ee74e,Peritoneal Dialysis Solution Low Calcium with 4.25% Dextrose,peritoneal dialysis solution low calcium with 4.25% dextrose
ING_f1f8980e68f78ce09474,Peritoneal Dialysis Solution Low Calcium with 2.5% Dextrose,peritoneal dialysis solution low calcium with 2.5% dextrose
ING_06318535184944131d3e,Peritoneal Dialysis Solution Low Calcium with 1.5% Dextrose,peritoneal dialysis solution low calcium with 1.5% dextrose
ING_107d2a50244f12604cb9,Pacliatcel,pacliatcel
ING_d1e32c233b56bb4a6e7a,Metformin Hyydrochloride,metformin hyydrochloride
ING_5f4d361bd9a30aa35fd9,Daclatasvir (as dihydrochloride),daclatasvir (as dihydrochloride)
ING_a3924ee0adba9a99091a,Povidone-Iodine,povidone-iodine
ING_d095fbfd33357c34c3b1,Azacitidine,azacitidine
ING_564ac6e48050a2e39875,Bendamustine hydrochloride (as monohydrate),bendamustine hydrochloride (as monohydrate)
ING_bf088a323e89125dfb78,Lactated Ringer'S Solution (Ringer'S Lactate),lactated ringer's solution (ringer's lactate)
ING_8a367c07655d032b083a,Risdiplam,risdiplam
ING_26a9b1ef02bc59c2e57f,Folic Acid (Vitamin B9),folic acid (vitamin b9)
ING_08741779f3dbcf51a765,Teneligliptin (as Hemipentahydrobromide hydrate) Tenglyn,teneligliptin (as hemipentahydrobromide hydrate) tenglyn
ING_3eb54be02f44d884825d,Fenoterol hydrochloride,fenoterol hydrochloride
ING_4aeba4a6ab0c4d763e1b,500mg (equivalent to 200mg Ascorbic Acid and 300mg Sodium Ascorbate),500mg (equivalent to 200mg ascorbic acid and 300mg sodium ascorbate)
ING_f99f5f59f65665503a34,Hidrosmin,hidrosmin
ING_196583bfc1793e5d43d0,Milrinone,milrinone
ING_f84d034ff84179100f3f,Sevelamer Hydrochloride,sevelamer hydrochloride
ING_ab6fc72dae93a9a5f55b,Imiquimod,imiquimod
ING_46dc55a8b9eb0d41142a,Calcifediol,calcifediol
ING_cc934dfa8638b1659a63,Saroglitazar magnesium,saroglitazar magnesium
ING_756d96659b59202e36d3,Loxoprofen (as Sodium dihydrate),loxoprofen (as sodium dihydrate)
ING_3217719dc0c92c9733c0,Esflurbiprofen,esflurbiprofen
ING_69b303a452cb86e241e0,Fingolimod (As Hydrochloride),fingolimod (as hydrochloride)
ING_8b7a0ad135010f731343,Paricalcitol,paricalcitol
ING_33a90da1518084d3f7f7,Phenylephrine (as hydrochloride),phenylephrine (as hydrochloride)
ING_2af14e3dcf910b24565b,Avanafil,avanafil
ING_4e8fdff1692ce95df96e,Cisatracurium (as besilate),cisatracurium (as besilate)
ING_7fdd0fd83fb95234bc67,Rosa carnina (Rose Hips Fruit),rosa carnina (rose hips fruit)
ING_ebeae6f360064a4412bc,Rosuvastatin (as calcium) &amp; Ezetimibe,rosuvastatin (as calcium) &amp; ezetimibe
ING_a6421eac21803baca575,Rasagiline (as tartrate),rasagiline (as tartrate)
ING_ea8a8f21acb864c84606,Granisetron (as hydrochloride),granisetron (as hydrochloride)
ING_a2cc4ca550f167b9cdf5,Ertapenem (as sodium),ertapenem (as sodium)
ING_36383d11b7cb89343b9b,Abrocitinib,abrocitinib
ING_23cdf120a2dd3701a24e,Choline,choline
ING_be32af7aa26f4cdbe988,Abiraterone Acetate,abiraterone acetate
ING_e379482dc18f2a29d2b0,Emtricitabine,emtricitabine
ING_2944e9c7a13db026d8c2,Cabergoline,cabergoline
ING_aba1054d29473b2023cb,Amlodipine,amlodipine
ING_cf02797f3d956e2e9321,Dabigatran etexilate (as mesilate),dabigatran etexilate (as mesilate)
ING_dd395f4ea5130928e7ed,Lorlatinib,lorlatinib
ING_17e18eb6dd21815c99a3,Apixaban,apixaban
ING_c5ed6d73e8e88ddb3e4f,Mycophenolic Acid,mycophenolic acid
ING_32e6ec7823323a5b4ef6,Trifarotene,trifarotene
ING_3db1bdc6bf2d4b524948,Atazanavir (As Sulfate),atazanavir (as sulfate)
ING_80bfd602066519acaa1a,Elobixibat (as monohydrate),elobixibat (as monohydrate)
ING_963fc715b0df27a93228,Pyridoxine HC1 (Vitamin B6),pyridoxine hc1 (vitamin b6)
ING_c95acf1317ecfca344b0,Pomalidomide,pomalidomide
ING_549306dbfbc1efef9238,Ceftazidime,ceftazidime
ING_1d6e0270021db018a27b,Edaravone,edaravone
ING_2cff59f649a45785c08b,Rosuvastatin (As Calcium,rosuvastatin (as calcium
ING_bea7a5c90f96858a66d1,Capmatinib (As Hydrochloride),capmatinib (as hydrochloride)
ING_dae409f8f0c7078fc1d6,Tenofovir alafenamide (as hemifumarate),tenofovir alafenamide (as hemifumarate)
ING_bb53282bc5dcb9791708,Safinamide (as mesilate),safinamide (as mesilate)
ING_60a983131cb1b1b452fa,Rizatriptan,rizatriptan
ING_2e871e15002cb2ee81b4,Ropinirole (as hydrochloride),ropinirole (as hydrochloride)
ING_0ccda0559c6002c27485,Fimasartan potassium,fimasartan potassium
ING_8695f77855832522d263,Myox,myox
ING_27b6725ec5ad0d2efd5b,Fenofibric Acid,fenofibric acid
ING_6d3660e3f68b61461d72,Rasagiline (as mesilate),rasagiline (as mesilate)
ING_2d2870c74a3d467665fc,Cinacalcet (as hydrochloride),cinacalcet (as hydrochloride)
ING_5a6d0e96084da122466c,Pegaspargase,pegaspargase
ING_d7d4b28ecde3d68b48b4,Bupropion Hydrochloride,bupropion hydrochloride
ING_14f27882a5b9e25bd023,Fosfomycin (as trometamol),fosfomycin (as trometamol)
ING_573eabc118e07cf2d569,Methylcobalamine,methylcobalamine
ING_723c280e2557bc3c102a,Naratriptan (as hydrochloride),naratriptan (as hydrochloride)
ING_cebadef3c5cbd0175d82,Methocarbamol,methocarbamol
ING_f9839b35207666626f5e,Sunitinib (as malate),sunitinib (as malate)
ING_6c8553eb38bbc0913fae,Tenofovir Alefenamide (As Fumarate),tenofovir alefenamide (as fumarate)
ING_a0b0ac0b4f904a14628b,Erdafitinib,erdafitinib
ING_06f41d310b1b6341ef33,Cefoperazone,cefoperazone
ING_974263091d3d25d59a83,Sulbactam,sulbactam
ING_5967aa0890b8cb50e525,Clobazam,clobazam
ING_9954fb6595fcf69958a8,Thiocolchicoside,thiocolchicoside
ING_62f98e619749900f2c5d,Pretomanid,pretomanid
ING_ad79fe5e5220b07df228,Zanubrutinib,zanubrutinib
ING_3ad73b74e2dd7fa84000,Leflunomide,leflunomide
ING_639a2ad4ca5dd03ceed2,Tenofovir The alafenamide (as hemifumarate),tenofovir the alafenamide (as hemifumarate)
ING_43f52410ceeba65a8e92,Zin,zin
ING_b43db210d37e5df61f97,Iron (as Ferric Hydroxide Sucrose Complex),iron (as ferric hydroxide sucrose complex)
ING_885e09576102eb49a91b,Tolvaptan,tolvaptan
ING_497f98f731d1bc8a0d32,Phenylephrine Hydrochloride (Day Tablet) and Paracetamol,phenylephrine hydrochloride (day tablet) and paracetamol
ING_c2618151773b8b0a255a,Chlorpheniramine Maleate (Night Tablet),chlorpheniramine maleate (night tablet)
ING_5ffd1db4cb67fcc79bc3,Nilotinib (as hydrochloride dihydrate),nilotinib (as hydrochloride dihydrate)
ING_f204a67a76159aeaa12c,Revefenacin,revefenacin
ING_a41569808f81e9714ac7,Indacaterol (as acetate),indacaterol (as acetate)
ING_e6ea1e8cd6424fcda81d,Pralsetinib,pralsetinib
ING_7e2f602493ffdc209bda,Trifluridine,trifluridine
ING_439bb5a754cc7424112b,Tipiracil (as Hydrochloride),tipiracil (as hydrochloride)
ING_809dbe7c223eaa0f9e5e,Ropivacaine Hydrochloride,ropivacaine hydrochloride
ING_7a90fa44b9ec51b5fc36,Vericiguat,vericiguat
ING_0beb5facd7fd2c96c614,Tioconazole,tioconazole
ING_fcd8e5922f8c4cb77b11,Tinidazole,tinidazole
ING_b5af01d28bd8604cd280,Lurasidone (as Hydrochloride),lurasidone (as hydrochloride)
ING_7823a5d441f834c6e779,Cimicifuga racemosa L. (Black Cohosh) Rhizome,cimicifuga racemosa l. (black cohosh) rhizome
ING_219b881c825f33f2a2a5,Fexuprazan Hydrochloride,fexuprazan hydrochloride
ING_13c03102fe95fdcc7e2f,Remimazolam,remimazolam
ING_a68cec0857eb28e42c21,Peritoneal Dialysis Solution (Lactate-G 4.25%),peritoneal dialysis solution (lactate-g 4.25%)
ING_ef1e9138f07107d41c3e,Brigatinib,brigatinib
ING_d0786644ebb2c3fdcbb0,Methol,methol
ING_ec02999ef9af24aaa668,Zinc Chelate,zinc chelate
ING_808fc29ff5b15e17271d,Dementholized Mint Oil (Mentha arvensis) Cajuput Oil (Melaleuca leucadendra),dementholized mint oil (mentha arvensis) cajuput oil (melaleuca leucadendra)
ING_2e2fade5f8848e669a23,Menthol Crystal,menthol crystal
ING_38e3db47b150804e6c45,Juniperberry Oil (Juniperus communis),juniperberry oil (juniperus communis)
ING_af7f1b332dfa9c0e6052,Clove Bud Oil (Syzygium aromaticum),clove bud oil (syzygium aromaticum)
ING_7d1bea79a88954dd4419,Menthol Crystal Methyl Salicylate,menthol crystal methyl salicylate
ING_4395bd2fa70f4bb9414f,Fosaprepitant (as Dimeglumine),fosaprepitant (as dimeglumine)
ING_29fce7b39d31279cb234,Sitagliptin (As Hydrochloride),sitagliptin (as hydrochloride)
ING_1834c50579cf98b00d99,Erlotinib (as hydrochloride,erlotinib (as hydrochloride
ING_b51c0acb438196300740,Vildagliptin,vildagliptin
ING_8a87c27799bbdbd1a74a,Erlotinib (as hydrochloride),erlotinib (as hydrochloride)
ING_dedf77f2837dd0065509,Dasatinib,dasatinib
ING_93ef92bc895c3f66f6c4,Alpha Ketoanalogues,alpha ketoanalogues
ING_a28e4733c4af1adb4949,Diphenhydramine hydrochloride.,diphenhydramine hydrochloride.
ING_d71f074525c96fe80631,Lurasidone Hydrochloride,lurasidone hydrochloride
ING_f8ab54972063c21ee516,Palbociclib,palbociclib
ING_6d1dc37bdc9cf1ea07bc,Metformin Hydrochloride (in extended- release form),metformin hydrochloride (in extended- release form)
ING_5bf34faeb297ebf52dd2,Rimegepant (as sulfate),rimegepant (as sulfate)
ING_fadd27e203c07cf5f88e,Zinc (as Bisglycinate),zinc (as bisglycinate)
ING_08f8f4e46b6f651f27cb,Riboflavin (Vitamin B2),riboflavin (vitamin b2)
ING_aff6142fbd2a501bdd05,Chlorella pyrenoidosa,chlorella pyrenoidosa
ING_cedc5ee6af0f62d077cf,Panax ginseng L. (Korean Ginseng) Root,panax ginseng l. (korean ginseng) root
ING_54c61fa7e41783dee614,Bedaquiline (as Fumarate),bedaquiline (as fumarate)
ING_458a3b7869705c42c59a,Colecalciferol (Vitamin D),colecalciferol (vitamin d)
ING_bdb2111e317975acbc7b,Pyridoxine HCl (Vitamin B6),pyridoxine hcl (vitamin b6)
ING_336207e07e231967d398,Mutivitamins,mutivitamins
ING_c5921cad47e513240176,Evogliptin (as tartrate),evogliptin (as tartrate)
ING_a1ca101c30f75305d714,Teriflunomide,teriflunomide
ING_35e9d1622ed06c19fc36,Inclisiran (as sodium),inclisiran (as sodium)
ING_cf98dc743b7807a95f4e,Icatibant,icatibant
ING_903067e1b34e557b3e55,Thymalfasin,thymalfasin
ING_0b5279b99ed88c966f08,Brexpiprazole,brexpiprazole
ING_dd8b648f1266feae6ff0,Prednicarbate,prednicarbate
ING_7d892df9d57183fa707e,Vancomycin Hydrochloride,vancomycin hydrochloride
ING_fb711f24cf609cea24ab,Piperacillin as (sodium),piperacillin as (sodium)
ING_64f09a6edfdd938be46c,Roflumilast,roflumilast
ING_2d75c95107ea96423467,Lamivudine Efavirenz,lamivudine efavirenz
ING_e2b2db8c0f78150707bb,Desvenlafaxine (As succinate monohydrate),desvenlafaxine (as succinate monohydrate)
ING_3c1d3b6cc595c54cd976,Dopamine Hydrochloride,dopamine hydrochloride
ING_86fee25f73e07e519f05,Atorvastatin (as calcium trihydrate),atorvastatin (as calcium trihydrate)
ING_521b7d1177086c939b84,Cisatracurium ( As Besilate),cisatracurium ( as besilate)
ING_0b47cd70a4b70abb0d9f,Formoterol fumarate (as dihydrate),formoterol fumarate (as dihydrate)
ING_78c1b55249d2aa78b603,Sorafenib (as tosilate),sorafenib (as tosilate)
ING_cea0b4a45f83c4b1fbfb,Topotecan (as hydrochloride),topotecan (as hydrochloride)
ING_5ee5401c80f11da11b33,Dexmedetomidine (as hydrochloride) in 0.9% Sodium Chloride,dexmedetomidine (as hydrochloride) in 0.9% sodium chloride
ING_7f2d244aba2f4f25aa65,Multivitamins Minerals,multivitamins minerals
ING_8c6e1b1f8aeb3e34c96d,Metformin Hydrchloride,metformin hydrchloride
ING_4a4f506da9628130f3a9,Clotimazole,clotimazole
ING_1cb1f8e801896136ff79,Amlodipine (as Besilate,amlodipine (as besilate
ING_86234abad0e7a411f06c,Cabotegravir,cabotegravir
ING_df8b1a403ce336085099,Cabotegravir (as sodium),cabotegravir (as sodium)
ING_e024dcf899ea5479f8d0,Rizatriptan (as Benzoate),rizatriptan (as benzoate)
ING_367a6adb2a254990adf4,Finerenone,finerenone
ING_c3cc992098c6dc51199c,Beclometasone diproprionate,beclometasone diproprionate
ING_f6fa9c9e96c7850373db,dihydrate Glycopyrronium bromide.,dihydrate glycopyrronium bromide.
ING_f8f5717419c8c1f87aeb,Cyclophosphamide,cyclophosphamide
ING_5b9c9d379b1783f96406,Netarsudil (as mesylate),netarsudil (as mesylate)
ING_7dc8d98aa7cea82a7aa6,Iron Sucrose (as Ferric Hydroxide Sucrose Complex),iron sucrose (as ferric hydroxide sucrose complex)
ING_c1ec464e314314b56366,Ketorolac Tromethamine,ketorolac tromethamine
ING_847904a1916bb66cbbde,DHA,dha
ING_7c6f639c52d1bab0be87,EPA,epa
ING_8f40246585685df74a95,Sonidegib (as phosphate),sonidegib (as phosphate)
ING_d6c3640a886bb7e75cce,Co Amoxiclav,co amoxiclav
ING_9b3ee68027e960968840,Levosalbutamol (as tartrate),levosalbutamol (as tartrate)
ING_06beaadec43f216bc0cb,Asciminib (as hydrochloride),asciminib (as hydrochloride)
ING_440ff48ba1649c1c63ae,Dapsone,dapsone
ING_993900f605f7bd59cd77,Tegafur Gimeracil,tegafur gimeracil
ING_e4d4c9060c3eb393e33e,Oteracil potassium,oteracil potassium
ING_437b80db901d212e9c6c,Tegafur Gimeracil Oteracil potassium,tegafur gimeracil oteracil potassium
ING_744ea3f79df7b1bbfdf3,Chlorhexidine Digluconate,chlorhexidine digluconate
ING_cab5eba3d20446ef9883,Digluconate,digluconate
ING_6432b0ff8d2c0c50421a,Benzydamine Digluconate Hydrochloride,benzydamine digluconate hydrochloride
ING_0f3bd8baba227aab906e,Chlorhexidine,chlorhexidine
ING_b059c39ea0dea9528f4a,Iron Zinc,iron zinc
ING_5673fa4eb9d055687c85,Cholecalciferol (Vitamiu D3),cholecalciferol (vitamiu d3)
ING_e9ac7592a3199f19998e,Entrectinib,entrectinib
ING_540bfcb20ec00d968196,Entrectinib nib,entrectinib nib
ING_9a510a19140c3ca81776,Cariprazine (as hydrochloride),cariprazine (as hydrochloride)
ING_b308fcd3ce21aaa38aa4,Doxylamine Succinate,doxylamine succinate
ING_040a9514786caa5fd139,Eslicarbazepine (as acetate),eslicarbazepine (as acetate)
ING_6292f270df72338d805d,Pentosan Polysulfate Sodium,pentosan polysulfate sodium
ING_eb3f3e93def2339a6dff,Tenofovir Disoproxil (as fumarate),tenofovir disoproxil (as fumarate)
ING_e1be8f0529898dc7262f,Ascorbic (Vitamin C),ascorbic (vitamin c)
ING_096a508edd3a8ec42aa6,dl-a-Tocopheryl acetate (Vitamin E),dl-a-tocopheryl acetate (vitamin e)
ING_f0e4ae9e4fa43c9a6429,ultivitamins,ultivitamins
ING_182b4f4cff310b5fb2b5,Hexetidine,hexetidine
ING_5ab05e67a4d439ec989d,Mycophenolic acid (as Mycophenolate sodium),mycophenolic acid (as mycophenolate sodium)
ING_495d838e997c32781e27,Nirmatrelvir,nirmatrelvir
ING_ab2179083759d3d78493,Vortioxetine (as hydrobromide),vortioxetine (as hydrobromide)
ING_5b57c454a0b4f5da614e,Sterile Water for Injection.,sterile water for injection.
ING_d128ced7d3073d779672,Irinotecan hydrochloride (as trihydrate),irinotecan hydrochloride (as trihydrate)
ING_6b31c8822e88155d8244,Norepinephrine (as bitartrate monohydrate),norepinephrine (as bitartrate monohydrate)
ING_904864aa2f758545f734,Amlodipine (as besylate),amlodipine (as besylate)
ING_01ed6e66b62c6d7efc4d,Valsartan Amlodipine (as besylate),valsartan amlodipine (as besylate)
ING_05652e12c1b7a01b7a2c,Lipids.,lipids.
ING_119311f841a35299b5b1,Hydroxyethyl Starch 200,hydroxyethyl starch 200
ING_274429c868301f2fabec,0.5 Sodium Chloride.,0.5 sodium chloride.
ING_e02e17bb8cedd400813e,Sterile Water for Irrigation.,sterile water for irrigation.
ING_15aeda2a6a22dd413964,Milrinone (as lactate),milrinone (as lactate)
ING_54f88fe6d26e35ce88df,Norepinephrine,norepinephrine
ING_dde99209b83992607a8a,Sitagliptin (as hydrochloride monohydrate),sitagliptin (as hydrochloride monohydrate)
ING_1a59591c060c4bd8fe34,Tranexamic Acid.,tranexamic acid.
ING_07ec1daa81f28bb7831e,Bosentan (as monohydrate),bosentan (as monohydrate)
ING_3ef33f27482525ab83cd,Epinephrine.,epinephrine.
ING_12960a3721f887d12a8d,Atogepant,atogepant
ING_bec383409f6bc90b3825,Flucloxacillin,flucloxacillin
ING_86da901376b2540d6d17,Dexmedetomidine,dexmedetomidine
ING_53c1073801c82a727e07,Amino Acids.,amino acids.
ING_30505273bb9385290907,Betamethasone Dipropionate,betamethasone dipropionate
ING_a7e99e27f954430bf0cb,Glutathione (as sodium),glutathione (as sodium)
ING_b6699b7f21cc9e8dba54,Ceftazidime (as pentahydrate with sodium carbonate),ceftazidime (as pentahydrate with sodium carbonate)
ING_e8c65bc0093b13963b18,Ceftazidime (as pentahydrate) with sodium carbonate,ceftazidime (as pentahydrate) with sodium carbonate
ING_596ce6677ca9e6f7bec1,Betamethasone (as) sodium phosphate),betamethasone (as) sodium phosphate)
ING_3fccf7a7414174806eb9,Montelukast (as dihydrochloride as sodium),montelukast (as dihydrochloride as sodium)
ING_11354cc41baf054f84be,Lenvatinib (as mesylate),lenvatinib (as mesylate)
ING_c7e2558a3cd32f5fc8c6,Acotiamide hydrochloride hydrate,acotiamide hydrochloride hydrate
ING_657ec7b6327f60631e4f,Epinephrine (as bitartrate) (FOR EXPORT USE ONLY),epinephrine (as bitartrate) (for export use only)
ING_8fd584c5771b351f7a7a,Rosuvastatin (as calcium) Amlodipine (as camsilate),rosuvastatin (as calcium) amlodipine (as camsilate)
ING_2f2b50a99f5416fbf303,Amlodipine (as camsilate),amlodipine (as camsilate)
ING_7f2e712fd26b36c5ca37,Lenalidomide.,lenalidomide.
